diseases,#White,FPR_White,Gap_White,#Black,FPR_Black,Gap_Black,#Hisp,FPR_Hisp,Gap_Hisp,#Other,FPR_Other,Gap_Other,#Asian,FPR_Asian,Gap_Asian,#American,FPR_American,Gap_American
Enlarged Cardiomediastinum,18399,0.07,-0.017500000950188457,3956,0.021,-0.06590875409658478,1462,0.032,-0.05524736112685898,2122,0.128,0.04031460387789222,1631,0.165,0.07753438716483217,286,0.105,0.017500000950188457
Cardiomegaly,17245,0.19,-0.018288153129986218,3400,0.121,-0.08789579728941863,1262,0.155,-0.053469116950087964,2202,0.227,0.01828815312998619,1697,0.245,0.03577105424789637,299,0.288,0.07884726782960555
Lung Opacity,15058,0.169,0.008220388411186885,3269,0.111,-0.049351168998256464,1254,0.11,-0.050346454564713,1830,0.201,0.04069859472019824,1395,0.19,0.029569856251428023,276,0.152,-0.008220388411186885
Lung Lesion,24823,0.044,0.0011299399285044365,4607,0.018,-0.024684316214014332,1758,0.014,-0.029048501594474842,3463,0.066,0.023138489305916318,2637,0.084,0.041486196926571794,433,0.042,-0.0011299399285044365
Edema,19793,0.14,-0.007911349324296074,3910,0.086,-0.061774743381173516,1454,0.09,-0.05761196111020042,2582,0.162,0.014569057197691387,2082,0.156,0.007911349324296102,344,0.192,0.044152217898788426
Consolidation,20245,0.077,-0.010351246016782223,4170,0.032,-0.05555505333398107,1576,0.037,-0.05040769913612109,2637,0.114,0.0265559131829078,1908,0.144,0.05639614042799049,369,0.098,0.010351246016782223
Pneumonia,22949,0.069,0.00467327041670737,4348,0.03,-0.0346248404337072,1692,0.027,-0.03792789980069422,3152,0.104,0.03953726922403848,2338,0.136,0.07191775842692351,401,0.06,-0.004673270416707377
Atelectasis,16741,0.197,-0.00139405641946036,3642,0.125,-0.07304593877702863,1328,0.169,-0.028549584331238886,2227,0.199,0.00139405641946036,1639,0.221,0.02349921489250173,312,0.292,0.09368937149205431
Pneumothorax,24765,0.041,0.00511477472486449,4658,0.019,-0.01664243519089409,1776,0.015,-0.02054664532631934,3580,0.045,0.009222719010084104,2736,0.055,0.019440710450510122,457,0.031,-0.005114774724864494
Pleural Effusion,17191,0.171,0.012474393863503103,3687,0.09,-0.06911946086305645,1339,0.132,-0.02670614544382416,2486,0.146,-0.012474393863503103,1763,0.198,0.03906368049869949,322,0.183,0.024335468071406935
Pleural Other,25409,0.034,-0.002431854581903793,4705,0.014,-0.022588945363120536,1802,0.007,-0.030169847914424376,3493,0.047,0.010121929552035419,2626,0.081,0.04390203464307922,433,0.039,0.0024318545819038
Fracture,23145,0.065,-0.004135768494666028,4547,0.026,-0.042777376513418154,1757,0.022,-0.047100778497551746,3101,0.104,0.03510891866992154,2252,0.125,0.05649347175341091,398,0.073,0.004135768494666028
Support Devices,14693,0.178,0.021805207911495095,3288,0.103,-0.05324079029047242,1143,0.124,-0.03241264563337208,2046,0.147,-0.010019550342130978,1507,0.18,0.023843925480374728,246,0.167,0.010019550342130978
No Finding,20900,0.105,-0.01019417746592828,3225,0.178,0.06250416458369897,1256,0.157,0.04167687973700958,2941,0.091,-0.023704766091676446,2361,0.089,-0.026224891886263507,343,0.125,0.01019417746592828
