diseases,#M,FPR_M,Gap_M,#F,FPR_F,Gap_F
Enlarged Cardiomediastinum,15560,0.072,0.001387371987964403,12296,0.071,-0.001387371987964403
Cardiomegaly,14524,0.194,0.01438530227301571,11581,0.179,-0.01438530227301571
Lung Opacity,12811,0.17,0.01931300048294679,10271,0.15,-0.01931300048294679
Lung Lesion,21425,0.046,0.005017262327226359,16296,0.041,-0.005017262327226359
Edema,17003,0.137,0.0076959836087454325,13162,0.13,-0.0076959836087454325
Consolidation,17359,0.084,0.016909803581886707,13546,0.067,-0.016909803581886707
Pneumonia,19696,0.073,0.006481340399360061,15184,0.066,-0.006481340399360061
Atelectasis,14310,0.205,0.03807481422698952,11579,0.167,-0.03807481422698952
Pneumothorax,21537,0.041,0.007221781283309234,16435,0.034,-0.007221781283309234
Pleural Effusion,14967,0.17,0.02813902284543801,11821,0.142,-0.02813902284543801
Pleural Other,21842,0.037,0.004210273066281731,16626,0.033,-0.004210273066281731
Fracture,19960,0.066,0.002299086361699773,15240,0.064,-0.002299086361699773
Support Devices,12440,0.185,0.05041934376680296,10483,0.135,-0.05041934376680296
No Finding,18025,0.103,-0.02333364093085341,13001,0.126,0.02333364093085341
