diseases,#White,FPR_White,Gap_White,#Black,FPR_Black,Gap_Black,#Hisp,FPR_Hisp,Gap_Hisp,#Other,FPR_Other,Gap_Other,#Asian,FPR_Asian,Gap_Asian,#American,FPR_American,Gap_American
Enlarged Cardiomediastinum,18399,0.066,-0.01254514820469492,3956,0.02,-0.058647056961221064,1462,0.029,-0.04895217799851364,2122,0.12,0.04133445503358704,1631,0.15,0.07123752878548752,286,0.091,0.01254514820469492
Cardiomegaly,17245,0.191,-0.008828580148940751,3400,0.123,-0.07742536011926462,1262,0.155,-0.04476338566228691,2202,0.209,0.008828580148940751,1697,0.219,0.019137952300576605,299,0.268,0.0674861094852996
Lung Opacity,15058,0.186,-0.003733949160022093,3269,0.12,-0.06990009104167712,1254,0.125,-0.06461507589528476,1830,0.206,0.016196491024996568,1395,0.194,0.003733949160022121,276,0.196,0.005837735976291419
Lung Lesion,24823,0.049,0.00472193011044756,4607,0.024,-0.019672068743745313,1758,0.019,-0.02464274081545298,3463,0.068,0.024166103666617686,2637,0.086,0.04172055080381133,433,0.039,-0.004721930110447553
Edema,19793,0.129,-0.00474755215034689,3910,0.084,-0.049693510078328604,1454,0.085,-0.048298997366240604,2582,0.149,0.015528239551708983,2082,0.138,0.004747552150346862,344,0.18,0.04665158003051573
Consolidation,20245,0.08,-0.006233463915276349,4170,0.03,-0.05545182200233103,1576,0.038,-0.047836391504090026,2637,0.115,0.02899584170970275,1908,0.143,0.0566501944976765,369,0.092,0.006233463915276349
Pneumonia,22949,0.085,0.010240858266552022,4348,0.042,-0.03322043783648642,1692,0.034,-0.04139082024104839,3152,0.122,0.04643138878080422,2338,0.151,0.075477267292092,401,0.065,-0.010240858266552008
Atelectasis,16741,0.206,0.0059295041197534315,3642,0.132,-0.06811672416666903,1328,0.181,-0.01843653719142041,2227,0.194,-0.0059295041197534315,1639,0.22,0.019733684880515884,312,0.304,0.10457473868130121
Pneumothorax,24765,0.03,0.0043023678596310795,4658,0.014,-0.012229719029778577,1776,0.01,-0.016612133861957257,3580,0.034,0.0073353471385963695,2736,0.044,0.017675443188777687,457,0.022,-0.0043023678596310795
Pleural Effusion,17191,0.182,0.011736540752932845,3687,0.099,-0.07135862622163078,1339,0.139,-0.031716689481255805,2486,0.159,-0.011736540752932845,1763,0.206,0.03527271219802244,322,0.208,0.03744821062496975
Pleural Other,25409,0.034,-0.006044242446087027,4705,0.014,-0.025595232039547364,1802,0.007,-0.03338867444207331,3493,0.046,0.006044242446087027,2626,0.075,0.034590291131424186,433,0.051,0.010760372165109368
Fracture,23145,0.058,-0.005947104283569503,4547,0.026,-0.03889332836129105,1757,0.016,-0.04846839953032067,3101,0.092,0.027178705695984684,2252,0.112,0.04749587834927993,398,0.07,0.005947104283569496
Support Devices,14693,0.173,0.020075754350702274,3288,0.103,-0.049861508258253154,1143,0.123,-0.029299981733740252,2046,0.143,-0.009942064230026443,1507,0.165,0.011905799859419919,246,0.163,0.00994206423002647
No Finding,20900,0.112,-0.006892742059229712,3225,0.187,0.06819497723901591,1256,0.169,0.050318119489546675,2941,0.1,-0.018505691467773172,2361,0.098,-0.020208241735994684,343,0.125,0.006892742059229712
