diseases,#M,FPR_M,Gap_M,#F,FPR_F,Gap_F
Enlarged Cardiomediastinum,15560,0.068,-0.0001534137379096273,12296,0.068,0.0001534137379096273
Cardiomegaly,14524,0.181,0.007139063924659739,11581,0.174,-0.007139063924659739
Lung Opacity,12811,0.169,0.014404630987628897,10271,0.155,-0.014404630987628897
Lung Lesion,21425,0.041,0.004117241189682819,16296,0.037,-0.004117241189682819
Edema,17003,0.139,0.004801337247143989,13162,0.134,-0.004801337247143989
Consolidation,17359,0.094,0.018886766614579373,13546,0.075,-0.018886766614579373
Pneumonia,19696,0.08,0.0075675023261905505,15184,0.073,-0.0075675023261905505
Atelectasis,14310,0.208,0.039817221337768466,11579,0.168,-0.039817221337768466
Pneumothorax,21537,0.046,0.007794667087165454,16435,0.039,-0.007794667087165454
Pleural Effusion,14967,0.192,0.02647393224290348,11821,0.165,-0.02647393224290348
Pleural Other,21842,0.038,0.004372759084404758,16626,0.033,-0.004372759084404758
Fracture,19960,0.07,0.006210452400864722,15240,0.064,-0.006210452400864722
Support Devices,12440,0.179,0.04674520499120763,10483,0.133,-0.04674520499120763
No Finding,18025,0.109,-0.027641334748495283,13001,0.137,0.027641334748495283
