diseases,#medicare,FNR_medicare,Gap_medicare,#other,FNR_other,Gap_other,#medicaid,FNR_medicaid,Gap_medicaid
Enlarged Cardiomediastinum,336,0.863,0.01309523809523816,365,0.819,-0.03082191780821919,60,0.85,0.0
Cardiomegaly,2353,0.292,-0.03141538376963465,1809,0.323,0.0,279,0.348,0.0242871663189429
Lung Opacity,2477,0.286,0.0,2029,0.32,0.03403236836560225,398,0.269,-0.01698541151457733
Lung Lesion,243,0.774,0.06634547826959758,350,0.614,-0.09303135888501735,41,0.707,0.0
Edema,1591,0.356,-0.031983815987680464,1011,0.388,0.0,184,0.446,0.057917257988216564
Consolidation,495,0.608,0.0,423,0.541,-0.06670964968837312,92,0.663,0.0549626701800614
Pneumonia,779,0.718,0.0,663,0.674,-0.04337850475432592,110,0.736,0.018776986812930274
Atelectasis,2277,0.367,0.03337725076855513,1926,0.286,-0.04776739356178605,324,0.333,0.0
Pneumothorax,332,0.669,0.14784136546184734,576,0.477,-0.04340277777777779,48,0.521,0.0
Pleural Effusion,2683,0.217,0.0,2338,0.205,-0.012418111436995005,381,0.234,0.016301726726947074
Pleural Other,105,0.857,0.11001642036124792,87,0.747,0.0,16,0.625,-0.12212643678160917
Fracture,175,0.749,0.0,212,0.637,-0.11177897574123985,32,0.75,0.0014285714285714457
Support Devices,3046,0.092,-0.00804214603138352,3016,0.102,0.002152769768961671,552,0.1,0.0
No Finding,2575,0.322,0.13221496088968138,3561,0.19,0.0,680,0.165,-0.02540925384475609
