diseases,#White,FNR_White,Gap_White,#Black,FNR_Black,Gap_Black,#Hisp,FNR_Hisp,Gap_Hisp,#Other,FNR_Other,Gap_Other,#Asian,FNR_Asian,Gap_Asian,#American,FNR_American,Gap_American
Enlarged Cardiomediastinum,543,0.834,-0.03599792817679559,96,0.938,0.06724792817679559,54,0.741,-0.1295113310824637,32,0.906,0.03599792817679559,22,0.955,0.08429338272225018,14.0,0.5,-0.3702520718232044
Cardiomegaly,2972,0.311,-0.0020385459483709956,745,0.282,-0.03139757473607191,311,0.305,-0.007810531424822187,222,0.315,0.00203854594837094,160,0.362,0.049223230633055615,31.0,0.355,0.041561940310475
Lung Opacity,3445,0.29,-0.028196331969916888,772,0.338,0.019901083372585948,252,0.369,0.05086580086580089,259,0.212,-0.10582660582660583,132,0.318,0.0,44.0,0.318,0.0
Lung Lesion,451,0.694,0.0098027774536118,74,0.784,0.09957325746799428,38,0.684,0.0,43,0.419,-0.26560587515299877,28,0.607,-0.0770676691729324,27.0,,
Edema,1965,0.362,-0.03311523082515444,392,0.429,0.033115230825154496,161,0.342,-0.05384129091397594,172,0.32,-0.07568875588580892,69,0.522,0.12628293268850854,9.0,0.519,0.12306232077224444
Consolidation,700,0.597,-0.011428571428571344,172,0.5,-0.10857142857142854,50,0.62,0.011428571428571455,42,0.643,0.034285714285714364,37,0.595,-0.013976833976833913,7.0,0.778,0.16920634920634925
Pneumonia,1096,0.714,-0.004494098462494156,251,0.641,-0.07747589390844756,74,0.77,0.05136011341361557,77,0.597,-0.12150755945405733,47,0.723,0.004494098462494267,51.0,0.857,0.13823270028620238
Atelectasis,3260,0.314,0.006901840490797562,593,0.423,0.11636966035237278,263,0.289,-0.017928456460379327,220,0.418,0.1112799776910206,140,0.3,-0.006901840490797562,1.0,0.176,-0.13043125225550342
Pneumothorax,721,0.542,-0.01293973017273986,103,0.583,0.027282183835581897,38,0.605,0.050021069885658576,49,0.469,-0.08585433290703742,44,0.568,0.012939730172739972,66.0,0.0,-0.5552420880090783
Pleural Effusion,3943,0.208,-0.018488487422295946,670,0.222,-0.004317521304369243,303,0.231,0.004317521304369243,221,0.276,0.04931251854164956,199,0.151,-0.07595181216164068,1.0,0.303,0.07632472202444127
Pleural Other,133,0.752,-0.16478696741854637,41,0.78,-0.13617886178861782,12,0.917,0.0,10,1.0,0.08333333333333337,12,1.0,0.08333333333333337,112.0,,
Fracture,327,0.676,-0.09065093927479251,33,0.879,0.11229596091981409,18,0.667,-0.09982525120139807,26,0.577,-0.18956884094498783,14,0.857,0.0906509392747924,55.0,1.0,0.2335080821319353
Support Devices,4622,0.095,0.003200959071126719,913,0.112,0.02037274996784763,380,0.087,-0.0045047504645037845,329,0.088,-0.0032009590711267327,258,0.147,0.05593996597776468,,0.018,-0.07348971287051884
No Finding,4229,0.261,0.03498923283255023,1398,0.183,-0.0427101864303836,542,0.161,-0.06531232232298717,330,0.285,0.05901955735944603,262,0.191,-0.03498923283255026,,0.527,0.3014437997836884
