diseases,#White,FPR_White,Gap_White,#Black,FPR_Black,Gap_Black,#Hisp,FPR_Hisp,Gap_Hisp,#Other,FPR_Other,Gap_Other,#Asian,FPR_Asian,Gap_Asian,#American,FPR_American,Gap_American
Enlarged Cardiomediastinum,4434,0.265,0.015894032009705572,367,0.226,-0.022494614552221737,124,0.355,0.10618605697805866,1092,0.231,-0.017883421930129928,893,0.273,0.02458362949548809,116,0.233,-0.015894032009705544
Cardiomegaly,5709,0.281,0.014489268571605596,460,0.243,-0.02351784452975228,181,0.381,0.11421936421394219,1362,0.243,-0.023971142110037036,1097,0.253,-0.01448926857160554,146,0.295,0.027524442545887984
Lung Opacity,3995,0.255,0.027403550396274373,356,0.169,-0.058625334023857556,114,0.351,0.12371253311590194,1027,0.199,-0.02852785363481125,767,0.219,-0.00812945778050464,136,0.235,0.00812945778050464
Lung Lesion,10766,0.08,0.012024701513309172,996,0.064,-0.0038780325886196287,404,0.045,-0.02358060525552487,2444,0.072,0.003878032588619615,1905,0.1,0.03160247210732953,249,0.064,-0.0038780325886196287
Edema,7250,0.207,0.014480639113067573,617,0.173,-0.019547863653377406,223,0.256,0.06263774441691791,1692,0.178,-0.014480639113067573,1391,0.165,-0.027618966727434163,187,0.214,0.02093610656650663
Consolidation,6437,0.259,0.03755257140960874,657,0.195,-0.02706009286553765,234,0.261,0.03879870586997344,1617,0.194,-0.027698289198450216,1185,0.249,0.02706009286553765,194,0.175,-0.04662732285502438
Pneumonia,9537,0.124,0.02637166102850229,914,0.088,-0.010458751170077524,374,0.061,-0.03648877726446196,2167,0.108,0.010458751170077524,1625,0.14,0.04232158884002178,224,0.076,-0.02209324632481338
Atelectasis,5493,0.236,0.025609982206588028,550,0.2,-0.010508714316259216,199,0.251,0.04074756709077593,1385,0.175,-0.035057450778353094,1019,0.203,-0.007368380655807805,179,0.218,0.007368380655807805
Pneumothorax,10978,0.053,0.011665048469033629,1076,0.042,0.0006536712028419045,422,0.017,-0.024580212410329576,2567,0.041,-0.0006536712028419045,2020,0.058,0.017247951448710358,274,0.018,-0.02291971495296631
Pleural Effusion,6626,0.252,0.032913899489763726,672,0.199,-0.019266005070913556,250,0.256,0.03732923302432453,1645,0.179,-0.03933945998479402,1202,0.238,0.019266005070913556,204,0.196,-0.022592335603126457
Pleural Other,11034,0.068,0.007857728044344259,1061,0.048,-0.012227393139650981,422,0.031,-0.029489566444813334,2441,0.052,-0.007857728044344252,1878,0.094,0.033421466266198185,249,0.08,0.020026031491957447
Fracture,8964,0.13,0.013729217851817827,895,0.105,-0.01131870817880995,383,0.06,-0.05629442181855498,2065,0.121,0.004718734162959634,1506,0.147,0.03039970680186327,215,0.112,-0.00471873416295962
Support Devices,4807,0.191,0.030182162575433324,516,0.174,0.01321320741798368,131,0.137,-0.023800817080507353,1313,0.149,-0.011928931125029851,1005,0.173,0.011928931125029851,174,0.08,-0.08074562711823659
No Finding,10621,0.062,-0.008185487146898193,938,0.079,0.008658882608558724,406,0.034,-0.03574961676648723,2209,0.076,0.005820137061895089,1863,0.064,-0.005820137061895089,214,0.103,0.03257136293058012
