diseases,#White,FPR_White,Gap_White,#Black,FPR_Black,Gap_Black,#Hisp,FPR_Hisp,Gap_Hisp,#Other,FPR_Other,Gap_Other,#Asian,FPR_Asian,Gap_Asian,#American,FPR_American,Gap_American
Enlarged Cardiomediastinum,13965,0.04,-0.006163466919726503,3589,0.022,-0.024252015122219358,1338,0.057,0.010537478268355813,1030,0.052,0.006163466919726503,738,0.039,-0.0069683245923633785,170,0.2,0.1537362824537071
Cardiomegaly,11536,0.263,0.04019477778447808,2940,0.208,-0.014818101153504876,1081,0.217,-0.005590062111801242,840,0.229,0.005590062111801242,600,0.213,-0.009648033126293976,153,0.425,0.2018552348475622
Lung Opacity,11063,0.328,0.016313164537957114,2913,0.225,-0.08651981596483937,1140,0.241,-0.07048913679523669,803,0.311,-0.0003847038573502326,628,0.312,0.0003847038573501771,140,0.314,0.0025685073150389925
Lung Lesion,14057,0.031,0.0036751799804203428,3611,0.024,-0.0036751799804203428,1354,0.021,-0.006350208317844927,1019,0.047,0.019336775909458176,732,0.04,0.011849257341484648,184,0.005,-0.022333446388617516
Edema,12543,0.11,0.028313180011775838,3293,0.079,-0.0029769348022526676,1231,0.081,-0.00039385171460126767,890,0.082,0.00039385171460126767,691,0.069,-0.012164076056581999,157,0.204,0.12219303585544433
Consolidation,13808,0.097,0.004407411503183745,3513,0.075,-0.018347335886003707,1342,0.063,-0.03033432226786066,1020,0.118,0.02471959199531107,723,0.089,-0.0044074115031837585,175,0.143,0.04992967602892451
Pneumonia,13412,0.079,0.0036033545141170575,3434,0.084,0.008443898392016716,1318,0.052,-0.02353878305027729,985,0.111,0.035527792209884626,713,0.072,-0.0036033545141170575,177,0.056,-0.018634931126029798
Atelectasis,11248,0.237,0.03492365124270774,3092,0.157,-0.04600779852257467,1129,0.21,0.007379496557044507,842,0.166,-0.03627000303164413,620,0.195,-0.007379496557044479,133,0.466,0.26362462665420944
Pneumothorax,13787,0.025,-0.004135518491522664,3582,0.012,-0.01664689997604285,1354,0.015,-0.013880318009918121,1013,0.038,0.009848139662205425,716,0.041,0.011851426541710407,183,0.033,0.004135518491522664
Pleural Effusion,10565,0.152,0.016635050761454412,3015,0.081,-0.05416366115302275,1089,0.118,-0.016635050761454412,841,0.117,-0.018564408111847328,561,0.162,0.0271179876439904,118,0.254,0.1191449370986567
Pleural Other,14375,0.016,0.007753522436642643,3644,0.005,-0.0037938073013423727,1380,0.004,-0.004385607998139967,1052,0.012,0.0036239803635727125,748,0.012,0.003298651476400837,184,0.005,-0.003298651476400837
Fracture,14181,0.037,0.01581489336752464,3652,0.011,-0.01059791018238668,1374,0.021,-0.0001707310410495981,1036,0.029,0.007680538818953888,746,0.021,0.00017073104104959463,183,0.0,-0.02127699013857507
Support Devices,9886,0.174,0.033068976076323,2772,0.093,-0.048100438949049945,1012,0.125,-0.01630735280813772,733,0.128,-0.012573172521374243,502,0.153,0.01257317252137427,72,0.361,0.22029782944921844
No Finding,10279,0.159,-0.02766925093069514,2287,0.226,0.03952349600351762,850,0.226,0.039345507886539316,732,0.15,-0.036263621010921315,498,0.195,0.008242271411226298,129,0.178,-0.008242271411226298
