diseases,#M,FPR_M,Gap_M,#F,FPR_F,Gap_F
Enlarged Cardiomediastinum,11491,0.049,0.019220412714414627,9339,0.029,-0.019220412714414627
Cardiomegaly,9362,0.263,0.031082772734020686,7788,0.232,-0.031082772734020686
Lung Opacity,9096,0.325,0.04912502851650341,7591,0.276,-0.04912502851650341
Lung Lesion,11616,0.032,0.004728010093833782,9341,0.028,-0.004728010093833782
Edema,10368,0.109,0.019651164513452654,8437,0.09,-0.019651164513452654
Consolidation,11292,0.106,0.030627204589951662,9289,0.075,-0.030627204589951662
Pneumonia,10954,0.087,0.01787525137642189,9085,0.069,-0.01787525137642189
Atelectasis,9211,0.238,0.04498133332433801,7853,0.193,-0.04498133332433801
Pneumothorax,11319,0.027,0.008893357323970442,9316,0.018,-0.008893357323970442
Pleural Effusion,8806,0.147,0.025157157539976577,7383,0.122,-0.025157157539976577
Pleural Other,11787,0.015,0.003866064283380991,9596,0.011,-0.003866064283380991
Fracture,11674,0.035,0.010141373820329088,9498,0.025,-0.010141373820329088
Support Devices,7968,0.184,0.06460239588687179,7009,0.119,-0.06460239588687179
No Finding,8446,0.16,-0.032411292141122594,6329,0.193,0.032411292141122594
