diseases,#M,FPR_M,Gap_M,#F,FPR_F,Gap_F
Enlarged Cardiomediastinum,11491,0.048,0.02068582582015587,9339,0.027,-0.02068582582015587
Cardiomegaly,9362,0.248,0.022612475637506485,7788,0.226,-0.022612475637506485
Lung Opacity,9096,0.364,0.06534123001513042,7591,0.299,-0.06534123001513042
Lung Lesion,11616,0.038,2.550111581896969e-05,9341,0.038,-2.550111581896969e-05
Edema,10368,0.112,0.011039554515896333,8437,0.101,-0.011039554515896333
Consolidation,11292,0.07,0.017483065435267196,9289,0.052,-0.017483065435267196
Pneumonia,10954,0.121,0.016778967311041754,9085,0.104,-0.016778967311041754
Atelectasis,9211,0.269,0.051076628809449104,7853,0.218,-0.051076628809449104
Pneumothorax,11319,0.033,0.01021588842191536,9316,0.023,-0.01021588842191536
Pleural Effusion,8806,0.147,0.023462017773273378,7383,0.123,-0.023462017773273378
Pleural Other,11787,0.015,0.0011492462092796002,9596,0.013,-0.0011492462092796002
Fracture,11674,0.04,0.012208101086031549,9498,0.028,-0.012208101086031549
Support Devices,7968,0.178,0.061345915120032124,7009,0.117,-0.061345915120032124
No Finding,8446,0.179,-0.034600602446174356,6329,0.214,0.034600602446174356
