diseases,#White,FPR_White,Gap_White,#Black,FPR_Black,Gap_Black,#Hisp,FPR_Hisp,Gap_Hisp,#Other,FPR_Other,Gap_Other,#Asian,FPR_Asian,Gap_Asian,#American,FPR_American,Gap_American
Enlarged Cardiomediastinum,13965,0.038,-0.006716340087389069,3589,0.02,-0.02495730132501723,1338,0.064,0.019535066776985188,1030,0.051,0.006716340087389069,738,0.037,-0.008154604738564046,170,0.2,0.15526002940777744
Cardiomegaly,11536,0.252,0.036279472954230285,2940,0.198,-0.017414965986394526,1081,0.201,-0.014974230210122869,840,0.221,0.005714285714285727,600,0.21,-0.0057142857142856995,153,0.418,0.20258636788048556
Lung Opacity,11063,0.365,0.026011576902025768,2913,0.243,-0.09575968855795147,1140,0.262,-0.07652739051108354,803,0.351,0.012374971246361166,628,0.326,-0.012374971246361222,140,0.357,0.018334764877387666
Lung Lesion,14057,0.041,0.007270247394657196,3611,0.027,-0.007270247394657193,1354,0.027,-0.007544724650473678,1019,0.048,0.013953746785159198,732,0.045,0.010949354822611536,184,0.011,-0.023263047173111916
Edema,12543,0.116,0.02498586883592352,3293,0.087,-0.0037655633161251256,1231,0.086,-0.00450760456602059,890,0.094,0.0037655633161251117,691,0.075,-0.015363203005278492,157,0.197,0.10683577014357806
Consolidation,13808,0.061,-0.002736537457374663,3513,0.062,-0.0021674090190200515,1342,0.037,-0.026964808331685845,1020,0.088,0.024012661642891175,723,0.066,0.0021674090190200446,175,0.097,0.03292022466810125
Pneumonia,13412,0.115,0.007583877000343159,3434,0.113,0.005301738820033305,1318,0.077,-0.03105477106107174,985,0.144,0.036476406003084855,713,0.102,-0.005301738820033319,177,0.09,-0.017290550319149806
Atelectasis,11248,0.268,0.024853508820024406,3092,0.173,-0.07066820186730896,1129,0.23,-0.013079659418840567,842,0.179,-0.06403703661977722,620,0.256,0.013079659418840539,133,0.474,0.23031225704193048
Pneumothorax,13787,0.03,-0.006771247643202333,3582,0.014,-0.022706743404934518,1354,0.017,-0.019957893295203193,1013,0.049,0.012413742208390414,716,0.049,0.011938082212912628,183,0.044,0.00677124764320234
Pleural Effusion,10565,0.152,0.014316503970382088,3015,0.08,-0.05771347078119525,1089,0.117,-0.021358057763638416,841,0.124,-0.014316503970382102,561,0.159,0.020666465544307344,118,0.263,0.12473305365875192
Pleural Other,14375,0.017,0.0072009257728550165,3644,0.005,-0.0045627739360172195,1380,0.009,-0.0013555959662754167,1052,0.011,0.0013555959662754184,748,0.012,0.0019808374213088654,184,0.0,-0.01005124814018846
Fracture,14181,0.041,0.013509835693532805,3652,0.014,-0.01349552598434589,1374,0.027,-0.000531801295993433,1036,0.028,0.0005318012959934365,746,0.044,0.016775448236691318,183,0.0,-0.027460476696284555
Support Devices,9886,0.169,0.030057703503508587,2772,0.092,-0.04713630531097361,1012,0.123,-0.01623725267279054,733,0.124,-0.014619557241701664,502,0.153,0.014619557241701692,72,0.361,0.22234421416954586
No Finding,10279,0.177,-0.015936300899678096,2287,0.261,0.06857887820496397,850,0.246,0.05298331247539273,732,0.164,-0.028964614236275554,498,0.209,0.015936300899678096,129,0.163,-0.030108342791365122
