diseases,#White,FPR_White,Gap_White,#Black,FPR_Black,Gap_Black,#Hisp,FPR_Hisp,Gap_Hisp,#Other,FPR_Other,Gap_Other,#Asian,FPR_Asian,Gap_Asian,#American,FPR_American,Gap_American
Enlarged Cardiomediastinum,13965,0.048,-0.0019544353254843036,3589,0.022,-0.027768802074662306,1338,0.062,0.012531009548712724,1030,0.051,0.0019544353254843105,738,0.033,-0.016981550150875303,170,0.235,0.18579224229293148
Cardiomegaly,11536,0.244,0.03388927415626444,2940,0.193,-0.017278911564625854,1081,0.206,-0.0041857186908065835,840,0.214,0.0038095238095237904,600,0.207,-0.003809523809523818,153,0.405,0.19475256769374416
Lung Opacity,11063,0.304,0.04693619642387298,2913,0.206,-0.050805666418961504,1140,0.218,-0.039235030250786174,803,0.299,0.04210031308888301,628,0.271,0.013921747042766164,140,0.243,-0.013921747042766136
Lung Lesion,14057,0.038,0.005224166978315445,3611,0.024,-0.008180626540779886,1354,0.027,-0.005224166978315448,1019,0.053,0.020442523364549728,732,0.055,0.022094201587601364,184,0.005,-0.02711582454687238
Edema,12543,0.118,0.02516747752875828,3293,0.086,-0.0073651047701559225,1231,0.088,-0.005571427267499707,890,0.099,0.005571427267499707,691,0.084,-0.009368653059009663,157,0.21,0.11688610557566546
Consolidation,13808,0.089,-0.0016866863317354513,3513,0.082,-0.009001533947889842,1342,0.045,-0.04627335761497607,1020,0.127,0.03646823380549673,723,0.093,0.0016866863317354513,175,0.103,0.011874396270482729
Pneumonia,13412,0.071,0.00611215009564188,3434,0.082,0.016810590161223493,1318,0.05,-0.014942308417039224,985,0.096,0.03142851955643235,713,0.059,-0.006112150095641894,177,0.04,-0.025470158352311804
Atelectasis,11248,0.261,0.03771499750632987,3092,0.17,-0.05333836095187641,1129,0.229,0.005389439698277099,842,0.186,-0.03667056758119794,620,0.218,-0.005389439698277099,133,0.519,0.29566561729905494
Pneumothorax,13787,0.027,-0.005634713305993095,3582,0.014,-0.018657970513834644,1354,0.016,-0.017107051632541587,1013,0.039,0.006870020433553385,716,0.041,0.007886140481863896,183,0.038,0.0056347133059930915
Pleural Effusion,10565,0.155,0.0162361644381393,3015,0.09,-0.0484938218506408,1089,0.116,-0.02300693123484923,841,0.122,-0.0162361644381393,561,0.157,0.018153334524347003,118,0.28,0.1409516063754603
Pleural Other,14375,0.013,0.007144399297431749,3644,0.004,-0.0020185272524656395,1380,0.002,-0.003412122441698685,1052,0.008,0.0020185272524656395,748,0.011,0.0051091516805984545,184,0.0,-0.005586035485176946
Fracture,14181,0.034,0.015632169664611745,3652,0.01,-0.008781426022442489,1374,0.022,0.0031950228456778668,1036,0.015,-0.0031950228456778668,746,0.023,0.004149165463657897,183,0.0,-0.01863903828969331
Support Devices,9886,0.163,0.032675142521375405,2772,0.087,-0.04318329445379229,1012,0.123,-0.007955237486604885,733,0.126,-0.00497328557529772,502,0.135,0.004973285575297692,72,0.347,0.21673734046684262
No Finding,10279,0.153,-0.01781364195960805,2287,0.222,0.05118367653604236,850,0.222,0.051411563055757364,732,0.145,-0.02613263495131432,498,0.189,0.01781364195960805,129,0.124,-0.04691037036877524
