diseases,#White,FNR_White,Gap_White,#Black,FNR_Black,Gap_Black,#Hisp,FNR_Hisp,Gap_Hisp,#Other,FNR_Other,Gap_Other,#Asian,FNR_Asian,Gap_Asian,#American,FNR_American,Gap_American
Enlarged Cardiomediastinum,8075,0.095,0.0009488856539478785,798,0.122,0.02788976726975209,338,0.062,-0.03153393992723445,1701,0.09,-0.0037170274949374082,1359,0.093,-0.0009488856539478785,174,0.167,0.07300254922463931
Cardiomegaly,6800,0.105,-0.004802585604472401,705,0.136,0.026367627161485052,281,0.085,-0.02439333293543325,1431,0.115,0.004802585604472401,1155,0.095,-0.014564490366377164,144,0.174,0.06380852550663871
Lung Opacity,8514,0.103,-0.0019659312714173233,809,0.157,0.052363548015661066,348,0.092,-0.012666359774572367,1766,0.104,-0.0004301222874269206,1485,0.105,0.0004301222874269345,154,0.13,0.025249747107051745
Lung Lesion,1743,0.428,0.011746914356156435,169,0.444,0.02753619149853831,58,0.414,-0.002457687301706535,349,0.41,-0.006508670406142836,347,0.418,0.0016166444085190523,41,0.415,-0.0016166444085189968
Edema,5259,0.139,-0.013982273609177337,548,0.168,0.015281428657218932,239,0.096,-0.05636747339818221,1101,0.15,-0.0027380228036295307,861,0.156,0.003031201879664408,103,0.155,0.0027380228036295307
Consolidation,6072,0.132,0.003247965988889323,508,0.211,0.08179620081921932,228,0.123,-0.006026702896763547,1176,0.124,-0.004684060576677612,1067,0.126,-0.003247965988889351,96,0.188,0.05866627955937681
Pneumonia,2972,0.35,-0.022171581222725223,251,0.398,0.02663856178532331,88,0.398,0.025959460010604007,626,0.289,-0.08263043252497543,627,0.254,-0.11817929597025723,66,0.394,0.022171581222725223
Atelectasis,7016,0.118,-0.025354078399537905,615,0.207,0.06313402312913988,263,0.137,-0.006487912633943993,1408,0.15,0.006487912633944021,1233,0.12,-0.023337600711186124,111,0.198,0.05482815628668766
Pneumothorax,1531,0.413,-0.029097193027827595,89,0.438,-0.004350203838122679,40,0.55,0.10744754897086611,226,0.447,0.004350203838122679,232,0.461,0.018654445522590213,16,0.438,-0.005052451029133931
Pleural Effusion,5883,0.146,-0.027487590476545837,493,0.227,0.05418894234622296,212,0.184,0.010970679113799203,1148,0.162,-0.010970679113799231,1050,0.141,-0.03203920408476324,86,0.233,0.05956655449773954
Pleural Other,1475,0.388,-0.00977237494832578,104,0.433,0.03444535647279551,40,0.425,0.026753048780487787,352,0.406,0.008003048780487798,374,0.281,-0.11749828811790791,41,0.39,-0.008003048780487798
Fracture,3545,0.26,-0.03383664237068035,270,0.319,0.0245972499137056,79,0.291,-0.002782028098483824,728,0.297,0.0027820280984837686,746,0.198,-0.09552984769328479,75,0.387,0.09274539806185372
Support Devices,7702,0.078,-0.00848275153650381,649,0.091,0.004914004914004913,331,0.045,-0.040677865451279355,1480,0.081,-0.004914004914004913,1247,0.101,0.015047416009725548,116,0.095,0.008832500211810548
No Finding,1888,0.209,0.053969090996362684,227,0.15,-0.005467275015733186,56,0.161,0.0054672750157331584,584,0.139,-0.016548380561566267,389,0.177,0.022130881332295765,76,0.145,-0.010510168593289404
