diseases,#White,FPR_White,Gap_White,#Black,FPR_Black,Gap_Black,#Hisp,FPR_Hisp,Gap_Hisp,#Other,FPR_Other,Gap_Other,#Asian,FPR_Asian,Gap_Asian,#American,FPR_American,Gap_American
Enlarged Cardiomediastinum,16204,0.071,0.009244676807716151,4896,0.042,-0.01969289488845183,1729,0.046,-0.016281155698848866,1047,0.095,0.032583567272343725,658,0.068,0.006416751097602161,54,0.056,-0.006416751097602161
Cardiomegaly,13462,0.26,-0.002722219775653789,3946,0.233,-0.0292381103118578,1481,0.265,0.002722219775653789,845,0.282,0.019017782105600345,545,0.198,-0.06447388501344853,37,0.486,0.22384746385835907
Lung Opacity,12775,0.399,0.10802001750113299,4111,0.263,-0.027209706008081258,1441,0.279,-0.01167632296693183,863,0.406,0.11491273461909174,506,0.275,-0.015945701116163946,43,0.302,0.011676322966931885
Lung Lesion,16275,0.034,0.007534890596794942,4842,0.021,-0.005852425076166491,1769,0.008,-0.018025681085332566,1037,0.049,0.022675279909579814,649,0.032,0.005852425076166491,54,0.0,-0.026505047959272644
Edema,14597,0.101,0.014914901986648785,4539,0.077,-0.008803450266466992,1580,0.095,0.008803450266466992,913,0.057,-0.029178165494621093,622,0.077,-0.008962840587861634,43,0.163,0.07665743908012611
Consolidation,15934,0.088,0.017222506636686577,4835,0.059,-0.011676185992643119,1709,0.083,0.011676185992643126,1041,0.085,0.0146665140799742,640,0.048,-0.02239070253866173,54,0.037,-0.0337911655016247
Pneumonia,15519,0.088,0.029324485362795354,4685,0.058,-8.325065645959501e-05,1664,0.037,-0.0213081603518869,1023,0.059,8.325065645959501e-05,619,0.081,0.022207668528441173,52,0.0,-0.058567775736502285
Atelectasis,13403,0.244,0.04163486696430843,4265,0.161,-0.04163486696430843,1502,0.145,-0.05757359968956885,840,0.276,0.07347706291901654,559,0.152,-0.05065616819095878,33,0.273,0.07001385945581304
Pneumothorax,16109,0.03,0.011726335737757925,4887,0.014,-0.004032050993376959,1724,0.016,-0.002285265046285928,1036,0.017,-0.0005720005720005715,647,0.025,0.006783002919015284,54,0.019,0.0005720005720005715
Pleural Effusion,12429,0.143,0.04197419697103022,4286,0.068,-0.0333518350119584,1549,0.083,-0.018201091241874467,818,0.11,0.008543823451886465,538,0.093,-0.008543823451886451,32,0.125,0.02351937357413586
Pleural Other,16552,0.019,0.011784144495970175,4982,0.006,-0.0014667729198248021,1778,0.002,-0.005801161871908321,1074,0.011,0.0036847333967696873,670,0.009,0.001466772919824803,54,0.0,-0.0074884509607722125
Fracture,16344,0.024,0.00906802448652669,4957,0.007,-0.007953137240004297,1760,0.011,-0.003246753246753246,1025,0.022,0.007828634779854292,672,0.018,0.003246753246753246,53,0.0,-0.01461038961038961
Support Devices,12506,0.114,0.019118434152269603,3997,0.074,-0.020521142803756234,1395,0.083,-0.01167275023692968,801,0.106,0.01129048120763558,503,0.085,-0.009339794565937712,48,0.104,0.009339794565937712
No Finding,11620,0.175,-0.031056347056934774,2924,0.283,0.07716265362823702,998,0.268,0.061865986422416336,725,0.177,-0.029117359579933194,407,0.216,0.010547132498352013,41,0.195,-0.010547132498352013
