diseases,#medicare,FPR_medicare,Gap_medicare,#other,FPR_other,Gap_other,#medicaid,FPR_medicaid,Gap_medicaid
Enlarged Cardiomediastinum,11313,0.07,0.0,11505,0.072,0.0019607538073619646,2636,0.049,-0.021070170927479856
Cardiomegaly,9064,0.267,0.06826375463534975,9723,0.198,0.0,2235,0.194,-0.004212111736717816
Lung Opacity,8703,0.338,0.07590834061362117,9502,0.262,0.0,2155,0.239,-0.023386699393118354
Lung Lesion,11299,0.03,0.0,11594,0.027,-0.0032624352898031617,2636,0.041,0.011057016742185549
Edema,9957,0.124,0.032361489429929405,10638,0.091,0.0,2432,0.078,-0.013656742586160828
Consolidation,11102,0.075,0.00140379889834788,11368,0.074,0.0,2575,0.051,-0.022753940545083118
Pneumonia,10731,0.12,0.0018669398035390111,11112,0.097,-0.02041099560210939,2549,0.118,0.0
Atelectasis,9148,0.256,0.06191094875419406,9741,0.195,0.0,2347,0.12,-0.0748112369422145
Pneumothorax,11226,0.021,0.0,11433,0.024,0.0034711095148118078,2645,0.014,-0.007233882187482004
Pleural Effusion,8475,0.129,0.025275080265584116,9389,0.104,0.0,2389,0.062,-0.04221384080950068
Pleural Other,11508,0.012,0.0023533954869891047,11825,0.01,0.0,2685,0.005,-0.004883445340766375
Fracture,11383,0.026,0.004701066240146972,11645,0.021,0.0,2660,0.013,-0.008257117676113855
Support Devices,8697,0.124,0.0027825739443989306,8773,0.121,0.0,2130,0.081,-0.04030205779683611
No Finding,8507,0.161,-0.04474593679950303,7369,0.205,0.0,1591,0.268,0.06306508170066066
