diseases,#medicare,FPR_medicare,Gap_medicare,#other,FPR_other,Gap_other,#medicaid,FPR_medicaid,Gap_medicaid
Enlarged Cardiomediastinum,11313,0.052,0.0,11505,0.054,0.0027021791109004406,2636,0.035,-0.017100024720777936
Cardiomegaly,9064,0.276,0.07195491187082537,9723,0.204,0.0,2235,0.191,-0.01214197015724841
Lung Opacity,8703,0.362,0.08565754149909188,9502,0.276,0.0,2155,0.239,-0.03649875151451812
Lung Lesion,11299,0.025,0.0,11594,0.021,-0.0039920884030109,2636,0.037,0.012105728399830193
Edema,9957,0.131,0.04380341390143437,10638,0.087,0.0,2432,0.073,-0.014078826772939118
Consolidation,11102,0.045,0.0,11368,0.046,0.001319160529368077,2575,0.035,-0.010175547832717971
Pneumonia,10731,0.09,0.0,11112,0.079,-0.010636333885014115,2549,0.094,0.004414564828494852
Atelectasis,9148,0.249,0.05989858587975122,9741,0.189,0.0,2347,0.13,-0.05841044448751423
Pneumothorax,11226,0.022,0.0,11433,0.027,0.004763747313549348,2645,0.015,-0.006790541940007619
Pleural Effusion,8475,0.133,0.028944383859729167,9389,0.104,0.0,2389,0.058,-0.04650620024564071
Pleural Other,11508,0.021,0.008524640639731457,11825,0.013,0.0,2685,0.012,-0.001020625903047627
Fracture,11383,0.04,0.01481680420513638,11645,0.025,0.0,2660,0.02,-0.005869762426676393
Support Devices,8697,0.102,0.0,8773,0.105,0.003565915423996091,2130,0.069,-0.032984662025273406
No Finding,8507,0.15,-0.049281886638645495,7369,0.199,0.0,1591,0.258,0.05952228742232121
