diseases,#White,FPR_White,Gap_White,#Black,FPR_Black,Gap_Black,#Hisp,FPR_Hisp,Gap_Hisp,#Other,FPR_Other,Gap_Other,#Asian,FPR_Asian,Gap_Asian,#American,FPR_American,Gap_American
Enlarged Cardiomediastinum,16204,0.07,0.013156858881083852,4896,0.051,-0.005393490988148786,1729,0.057,0.00022457945190307999,1047,0.093,0.03619007175882202,658,0.056,-0.00022457945190307999,54,0.019,-0.03793706397289824
Cardiomegaly,13462,0.226,-0.013199371625939843,3946,0.206,-0.03309363125016565,1481,0.254,0.015010877525120425,845,0.252,0.01319937162593987,545,0.178,-0.06088998291507308,37,0.486,0.24761485219526663
Lung Opacity,12775,0.315,0.05284825964412254,4111,0.209,-0.05247744519721523,1441,0.244,-0.017397479140777578,863,0.333,0.0708885459978742,506,0.208,-0.054162406878158015,43,0.279,0.01739747914077755
Lung Lesion,16275,0.035,0.014483120206706133,4842,0.022,0.0018041609466220368,1769,0.005,-0.0152065254139375,1037,0.045,0.02502890171338601,649,0.018,-0.0018041609466220403,54,0.0,-0.02029414553830155
Edema,14597,0.11,0.01959403135985001,4539,0.082,-0.00816858673493577,1580,0.099,0.008168586734935757,913,0.077,-0.013895272846081066,622,0.074,-0.016610606557424537,43,0.209,0.11873673510114124
Consolidation,15934,0.076,0.02192957343672819,4835,0.055,0.0009697428844072029,1709,0.053,-0.0009697428844072029,1041,0.056,0.002083539478446625,640,0.037,-0.016132118542686903,54,0.037,-0.016595081505649867
Pneumonia,15519,0.121,0.03514118249175835,4685,0.082,-0.004145668212060971,1664,0.069,-0.017813213980060305,1023,0.091,0.0045862615444152155,619,0.09,0.004145668212060971,52,0.019,-0.06709206013390646
Atelectasis,13403,0.233,0.04378713834517112,4265,0.145,-0.04378713834517109,1502,0.132,-0.05709772227937057,840,0.252,0.06345899574738739,559,0.123,-0.06548725180351131,33,0.303,0.11410834639673806
Pneumothorax,16109,0.024,0.010341341570593835,4887,0.014,0.00020668024715605159,1724,0.01,-0.0036762004671971483,1036,0.014,0.00036172874474598576,647,0.014,-0.00020668024715605159,54,0.0,-0.014117035734018494
Pleural Effusion,12429,0.127,0.04503497887513627,4286,0.06,-0.021971544448926295,1549,0.079,-0.003407040744008674,818,0.086,0.003407040744008688,538,0.069,-0.013394297182387188,32,0.125,0.04283246861686932
Pleural Other,16552,0.013,0.006223591958130787,4982,0.004,-0.0031138168168908997,1778,0.004,-0.0031912609701734256,1074,0.01,0.0031138168168909006,670,0.01,0.0033194923498406775,54,0.0,-0.0071282688441891735
Fracture,16344,0.026,0.010234841333409614,4957,0.006,-0.009007144887591731,1760,0.013,-0.0023944805194805203,1025,0.02,0.004049532784288882,672,0.018,0.0023944805194805185,53,0.0,-0.015462662337662338
Support Devices,12506,0.123,0.028008229884780758,3997,0.08,-0.015142276286067596,1395,0.087,-0.008714157706093184,801,0.127,0.031888315009463986,503,0.085,-0.009965431425782226,48,0.104,0.008714157706093198
No Finding,11620,0.167,-0.026629205241585796,2924,0.277,0.08343281340167985,998,0.272,0.07761611845227351,725,0.177,-0.017375243582140154,407,0.211,0.017375243582140126,41,0.122,-0.07197574820787606
