diseases,#M,FNR_M,Gap_M,#F,FNR_F,Gap_F
Enlarged Cardiomediastinum,7800,0.136,-0.023782122428071373,5406,0.16,0.023782122428071373
Cardiomegaly,8836,0.229,-0.02499330870008029,6121,0.254,0.02499330870008029
Lung Opacity,10549,0.209,-0.02440178973187765,7431,0.234,0.02440178973187765
Lung Lesion,1935,0.491,-0.04958446818911938,1406,0.541,0.04958446818911938
Edema,6357,0.214,-0.016836655142376616,4540,0.231,0.016836655142376616
Consolidation,6001,0.21,0.013455729787736681,4156,0.196,-0.013455729787736681
Pneumonia,3664,0.459,0.015852239422013026,2518,0.443,-0.015852239422013026
Atelectasis,9050,0.203,-0.0370998219736651,6123,0.24,0.0370998219736651
Pneumothorax,1823,0.45,0.014922452344223902,1267,0.435,-0.014922452344223902
Pleural Effusion,8393,0.152,-0.01356927487102566,5881,0.166,0.01356927487102566
Pleural Other,1518,0.425,-0.019336732444862392,1076,0.444,0.019336732444862392
Fracture,3400,0.301,-0.007627705834567788,2462,0.309,0.007627705834567788
Support Devices,10920,0.087,-0.009458213901350071,7219,0.096,0.009458213901350071
No Finding,5335,0.246,0.05248419696541065,4701,0.194,-0.05248419696541065
