diseases,#White,FNR_White,Gap_White,#Black,FNR_Black,Gap_Black,#Hisp,FNR_Hisp,Gap_Hisp,#Other,FNR_Other,Gap_Other,#Asian,FNR_Asian,Gap_Asian,#American,FNR_American,Gap_American
Enlarged Cardiomediastinum,8618,0.152,-0.021109116656641752,894,0.216,0.04311523454003677,392,0.194,0.02110911665664178,1733,0.11,-0.06255493176711317,1381,0.096,-0.07646141046803864,188,0.213,0.039997523083042136
Cardiomegaly,9772,0.206,0.011416291444944743,1450,0.294,0.09951966914618826,592,0.301,0.10640224137358806,1653,0.138,-0.05634239981932898,1315,0.127,-0.06727723658345641,175,0.183,-0.011416291444944743
Lung Opacity,11959,0.234,-0.0041454768438629885,1581,0.371,0.13237272082063262,600,0.36,0.12172123441962057,2025,0.123,-0.11482197545692263,1617,0.105,-0.13376423249441777,198,0.242,0.004145476843863016
Lung Lesion,2194,0.516,0.03243888713188103,243,0.576,0.09216218786601948,96,0.635,0.15144716728988772,392,0.452,-0.03243888713188098,375,0.44,-0.04396949937677891,41,0.366,-0.11811584084019355
Edema,7224,0.243,-0.015960686600221513,940,0.348,0.08883302702575335,400,0.275,0.015960686600221485,1273,0.192,-0.06658055456238654,930,0.198,-0.06118985103418714,130,0.277,0.0178837635232984
Consolidation,6772,0.215,-0.025979523528253584,680,0.412,0.17107756274393987,278,0.273,0.03269415182561575,1218,0.149,-0.0912618557820912,1104,0.148,-0.09304221560218118,105,0.267,0.025979523528253612
Pneumonia,4068,0.489,0.03238608046766611,502,0.622,0.1644703295088661,162,0.642,0.1849316939277338,703,0.337,-0.11991701442974645,674,0.267,-0.18998130017418213,73,0.425,-0.03238608046766617
Atelectasis,10276,0.209,-0.0035093157254828533,1208,0.373,0.1608043038703606,526,0.285,0.07263103567103041,1628,0.168,-0.04484964930014884,1373,0.113,-0.09964858847636407,162,0.216,0.0035093157254828256
Pneumothorax,2252,0.456,-0.00024133137694026807,192,0.516,0.05934459224650557,78,0.628,0.17192472045163376,275,0.436,-0.01991677138985809,276,0.457,0.00024133137694032358,17,0.412,-0.04451570187114151
Pleural Effusion,9826,0.187,-0.02812214496972476,1163,0.257,0.04161151302679211,515,0.233,0.01752749863481956,1369,0.198,-0.017527498634819533,1249,0.154,-0.06175923172033837,152,0.263,0.047675684633797566
Pleural Other,1608,0.427,-0.0032314257442071503,145,0.566,0.13504700966495398,52,0.577,0.14645284520872048,362,0.434,0.0032314257442071503,386,0.288,-0.14290546487497813,41,0.293,-0.1377873048850881
Fracture,3872,0.307,-0.017514408438451534,303,0.356,0.03184478884491315,97,0.423,0.09808955765169075,754,0.29,-0.03413992633748042,760,0.191,-0.13380138103523273,76,0.342,0.01751440843845148
Support Devices,12324,0.085,0.006450827653359303,1562,0.098,0.019770558970951202,711,0.072,-0.0064508276533592895,1809,0.069,-0.009634627360869563,1505,0.096,0.017500277663657124,228,0.057,-0.02116324159961734
No Finding,6117,0.251,0.061658434393471684,1625,0.179,-0.010695082287656588,598,0.174,-0.0158589618863188,914,0.186,-0.0037763817321945503,651,0.194,0.0037763817321945226,131,0.298,0.10793791829954247
