diseases,#M,FNR_M,Gap_M,#F,FNR_F,Gap_F
Enlarged Cardiomediastinum,7800,0.137,-0.023752810267793606,5406,0.161,0.023752810267793606
Cardiomegaly,8836,0.191,-0.02972909979218699,6121,0.221,0.02972909979218699
Lung Opacity,10549,0.216,-0.02599018882844678,7431,0.242,0.02599018882844678
Lung Lesion,1935,0.482,-0.058175556217171964,1406,0.54,0.058175556217171964
Edema,6357,0.234,-0.022881432864946843,4540,0.257,0.022881432864946843
Consolidation,6001,0.221,0.015569790341327466,4156,0.206,-0.015569790341327466
Pneumonia,3664,0.465,0.007956685662357632,2518,0.457,-0.007956685662357632
Atelectasis,9050,0.199,-0.03116325276581461,6123,0.23,0.03116325276581461
Pneumothorax,1823,0.469,0.016757723052065188,1267,0.452,-0.016757723052065188
Pleural Effusion,8393,0.193,-0.002204268449633312,5881,0.195,0.002204268449633312
Pleural Other,1518,0.403,-0.030852814552507435,1076,0.434,0.030852814552507435
Fracture,3400,0.294,-0.0022772017011516432,2462,0.296,0.0022772017011516432
Support Devices,10920,0.078,-0.014929505319448519,7219,0.093,0.014929505319448519
No Finding,5335,0.249,0.04856459382607581,4701,0.2,-0.04856459382607581
