diseases,Auc_M,Gap_M,Auc_F,Gap_F
Enlarged Cardiomediastinum,0.753,-0.010000000000000009,0.763,0.010000000000000009
Cardiomegaly,0.818,-0.014000000000000012,0.832,0.014000000000000012
Lung Opacity,0.777,-0.006000000000000005,0.783,0.006000000000000005
Lung Lesion,0.758,-0.013000000000000012,0.772,0.014000000000000012
Edema,0.899,-0.0030000000000000027,0.902,0.0030000000000000027
Consolidation,0.838,-0.009000000000000008,0.847,0.009000000000000008
Pneumonia,0.743,-0.0030000000000000027,0.746,0.0030000000000000027
Atelectasis,0.831,-0.009000000000000008,0.84,0.009000000000000008
Pneumothorax,0.896,-0.010000000000000009,0.906,0.010000000000000009
Pleural Effusion,0.923,-0.019999999999999907,0.943,0.019999999999999907
Pleural Other,0.841,-0.02200000000000002,0.863,0.02200000000000002
Fracture,0.714,-0.0050000000000000044,0.718,0.0030000000000000027
Support Devices,0.921,-0.008000000000000007,0.929,0.008000000000000007
