diseases,Auc_60-80,Gap_60-80,Auc_40-60,Gap_40-60,Auc_20-40,Gap_20-40,Auc_80-,Gap_80-,Auc_0-20,Gap_0-20
Enlarged Cardiomediastinum,0.733,-0.04799999999999993,0.745,-0.03599999999999992,0.823,0.04200000000000004,,,0.817,0.03600000000000003
Cardiomegaly,0.777,-0.07799999999999996,0.824,-0.031000000000000028,0.886,0.031000000000000028,,,0.888,0.03300000000000003
Lung Opacity,0.739,-0.061999999999999944,0.78,-0.020999999999999908,0.822,0.02100000000000002,,,0.825,0.02400000000000002
Lung Lesion,0.764,-0.008000000000000007,0.78,0.008000000000000007,0.697,-0.07500000000000007,,,0.78,0.008000000000000007
Edema,0.87,-0.051000000000000045,0.904,-0.017000000000000015,0.938,0.016999999999999904,,,0.985,0.06399999999999995
Consolidation,0.806,-0.06549999999999989,0.842,-0.02949999999999997,0.901,0.02950000000000008,,,0.941,0.0695
Pneumonia,0.701,-0.04700000000000004,0.759,0.01100000000000001,0.785,0.03700000000000003,,,0.737,-0.01100000000000001
Atelectasis,0.788,-0.0694999999999999,0.84,-0.01749999999999996,0.902,0.044500000000000095,,,0.875,0.01750000000000007
Pneumothorax,0.892,-0.025000000000000022,0.904,-0.013000000000000012,0.93,0.013000000000000012,,,0.935,0.018000000000000016
Pleural Effusion,0.911,-0.028999999999999915,0.932,-0.007999999999999896,0.953,0.013000000000000012,,,0.948,0.008000000000000007
Pleural Other,0.847,0.0010000000000000009,0.846,0.0,0.716,-0.13,,,,
Fracture,0.717,0.014500000000000068,0.727,0.024500000000000077,0.688,-0.014499999999999957,,,0.661,-0.04149999999999987
Support Devices,0.913,-0.020999999999999908,0.922,-0.0119999999999999,0.946,0.01200000000000001,,,0.967,0.03300000000000003
