diseases,Auc_medicare,Gap_medicare,Auc_other,Gap_other,Auc_medicaid,Gap_medicaid
Enlarged Cardiomediastinum,0.736,-0.014000000000000012,0.75,0.0,0.849,0.09899999999999998
Cardiomegaly,0.789,-0.03799999999999992,0.828,0.0010000000000000009,0.827,0.0
Lung Opacity,0.75,-0.039000000000000035,0.789,0.0,0.796,0.007000000000000006
Lung Lesion,0.733,0.0,0.812,0.07900000000000007,0.725,-0.008000000000000007
Edema,0.873,-0.016000000000000014,0.898,0.009000000000000008,0.889,0.0
Consolidation,0.803,-0.04699999999999993,0.85,0.0,0.86,0.010000000000000009
Pneumonia,0.713,-0.04800000000000004,0.776,0.015000000000000013,0.761,0.0
Atelectasis,0.804,-0.013999999999999901,0.832,0.014000000000000012,0.818,0.0
Pneumothorax,0.901,0.029000000000000026,0.872,0.0,0.833,-0.039000000000000035
Pleural Effusion,0.92,-0.0040000000000000036,0.924,0.0,0.934,0.010000000000000009
Pleural Other,0.847,0.0,0.816,-0.031000000000000028,0.864,0.017000000000000015
Fracture,0.716,-0.008000000000000007,0.762,0.038000000000000034,0.724,0.0
Support Devices,0.916,-0.010000000000000009,0.926,0.0,0.932,0.006000000000000005
