diseases,Auc_medicare,Gap_medicare,Auc_other,Gap_other,Auc_medicaid,Gap_medicaid
Enlarged Cardiomediastinum,0.723,-0.028000000000000025,0.751,0.0,0.852,0.10099999999999998
Cardiomegaly,0.789,-0.03799999999999992,0.827,0.0,0.83,0.0030000000000000027
Lung Opacity,0.751,-0.038000000000000034,0.789,0.0,0.797,0.008000000000000007
Lung Lesion,0.754,0.0,0.815,0.06099999999999994,0.716,-0.038000000000000034
Edema,0.874,-0.013000000000000012,0.901,0.014000000000000012,0.887,0.0
Consolidation,0.806,-0.04399999999999993,0.853,0.0030000000000000027,0.85,0.0
Pneumonia,0.71,-0.04600000000000004,0.777,0.02100000000000002,0.756,0.0
Atelectasis,0.806,-0.013999999999999901,0.831,0.01100000000000001,0.82,0.0
Pneumothorax,0.894,0.027000000000000024,0.867,0.0,0.853,-0.014000000000000012
Pleural Effusion,0.918,-0.0050000000000000044,0.923,0.0,0.93,0.007000000000000006
Pleural Other,0.856,0.030000000000000027,0.824,-0.0020000000000000018,0.826,0.0
Fracture,0.69,0.0,0.754,0.06400000000000006,0.676,-0.013999999999999901
Support Devices,0.915,-0.01100000000000001,0.926,0.0,0.933,0.007000000000000006
