diseases,Auc_medicare,Gap_medicare,Auc_other,Gap_other,Auc_medicaid,Gap_medicaid
Enlarged Cardiomediastinum,0.741,-0.01200000000000001,0.753,0.0,0.83,0.07699999999999996
Cardiomegaly,0.784,-0.03799999999999992,0.825,0.0030000000000000027,0.822,0.0
Lung Opacity,0.75,-0.03400000000000003,0.784,0.0,0.801,0.017000000000000015
Lung Lesion,0.751,0.0,0.799,0.04800000000000004,0.741,-0.010000000000000009
Edema,0.873,-0.013000000000000012,0.898,0.01200000000000001,0.886,0.0
Consolidation,0.806,-0.039999999999999925,0.846,0.0,0.852,0.006000000000000005
Pneumonia,0.699,-0.05500000000000005,0.754,0.0,0.755,0.0010000000000000009
Atelectasis,0.803,-0.018999999999999906,0.831,0.009000000000000008,0.822,0.0
Pneumothorax,0.9,0.028000000000000025,0.872,0.0,0.845,-0.027000000000000024
Pleural Effusion,0.92,-0.0020000000000000018,0.922,0.0,0.932,0.010000000000000009
Pleural Other,0.846,0.0040000000000000036,0.816,-0.026000000000000023,0.842,0.0
Fracture,0.707,-0.019000000000000017,0.761,0.03500000000000003,0.726,0.0
Support Devices,0.914,-0.013000000000000012,0.927,0.0,0.932,0.0050000000000000044
