diseases,Auc_M,Gap_M,Auc_F,Gap_F
Enlarged Cardiomediastinum,0.74,-0.02400000000000002,0.764,0.02400000000000002
Cardiomegaly,0.821,-0.014000000000000012,0.834,0.013000000000000012
Lung Opacity,0.778,-0.0040000000000000036,0.782,0.0040000000000000036
Lung Lesion,0.751,-0.03300000000000003,0.784,0.03300000000000003
Edema,0.904,0.0,0.904,0.0
Consolidation,0.84,-0.006000000000000005,0.846,0.006000000000000005
Pneumonia,0.745,0.0020000000000000018,0.744,-0.0010000000000000009
Atelectasis,0.832,-0.007000000000000006,0.839,0.007000000000000006
Pneumothorax,0.893,-0.009000000000000008,0.902,0.009000000000000008
Pleural Effusion,0.922,-0.020999999999999908,0.943,0.020999999999999908
Pleural Other,0.839,-0.026000000000000023,0.865,0.026000000000000023
Fracture,0.721,-0.015000000000000013,0.735,0.014000000000000012
Support Devices,0.92,-0.010000000000000009,0.93,0.010000000000000009
