diseases,Auc_60-80,Gap_60-80,Auc_40-60,Gap_40-60,Auc_20-40,Gap_20-40,Auc_80-,Gap_80-,Auc_0-20,Gap_0-20
Enlarged Cardiomediastinum,0.717,-0.04200000000000004,0.741,-0.018000000000000016,0.827,0.06799999999999995,,,0.777,0.018000000000000016
Cardiomegaly,0.784,-0.0754999999999999,0.828,-0.03149999999999997,0.891,0.031500000000000083,,,0.894,0.034500000000000086
Lung Opacity,0.738,-0.05600000000000005,0.785,-0.009000000000000008,0.823,0.028999999999999915,,,0.803,0.009000000000000008
Lung Lesion,0.787,0.027000000000000024,0.775,0.015000000000000013,0.745,-0.015000000000000013,,,0.745,-0.015000000000000013
Edema,0.878,-0.04700000000000004,0.908,-0.017000000000000015,0.942,0.016999999999999904,,,0.976,0.050999999999999934
Consolidation,0.808,-0.06699999999999995,0.847,-0.028000000000000025,0.903,0.028000000000000025,,,0.943,0.06799999999999995
Pneumonia,0.709,-0.03949999999999998,0.765,0.01650000000000007,0.794,0.045500000000000096,,,0.732,-0.01649999999999996
Atelectasis,0.791,-0.07599999999999996,0.839,-0.028000000000000025,0.901,0.03400000000000003,,,0.895,0.028000000000000025
Pneumothorax,0.892,-0.025000000000000022,0.906,-0.01100000000000001,0.928,0.01100000000000001,,,0.933,0.016000000000000014
Pleural Effusion,0.91,-0.03399999999999992,0.933,-0.010999999999999899,0.955,0.01100000000000001,,,0.959,0.015000000000000013
Pleural Other,0.831,0.0,0.843,0.01200000000000001,0.695,-0.136,,,,
Fracture,0.705,0.0045000000000000595,0.712,0.011500000000000066,0.696,-0.0044999999999999485,,,0.687,-0.013499999999999845
Support Devices,0.914,-0.021499999999999964,0.924,-0.011499999999999955,0.947,0.011499999999999955,,,0.974,0.03849999999999998
