diseases,Auc_M,Gap_M,Auc_F,Gap_F
Enlarged Cardiomediastinum,0.745,-0.02400000000000002,0.769,0.02400000000000002
Cardiomegaly,0.819,-0.015000000000000013,0.834,0.015000000000000013
Lung Opacity,0.78,-0.0030000000000000027,0.783,0.0030000000000000027
Lung Lesion,0.765,-0.02400000000000002,0.789,0.02400000000000002
Edema,0.903,-0.0030000000000000027,0.906,0.0030000000000000027
Consolidation,0.836,-0.014000000000000012,0.85,0.014000000000000012
Pneumonia,0.74,-0.006000000000000005,0.746,0.006000000000000005
Atelectasis,0.833,-0.006000000000000005,0.839,0.006000000000000005
Pneumothorax,0.898,-0.009000000000000008,0.907,0.009000000000000008
Pleural Effusion,0.923,-0.020999999999999908,0.944,0.020999999999999908
Pleural Other,0.838,-0.01200000000000001,0.85,0.01200000000000001
Fracture,0.718,0.008000000000000007,0.709,-0.009000000000000008
Support Devices,0.922,-0.009000000000000008,0.931,0.009000000000000008
