diseases,Auc_60-80,Gap_60-80,Auc_40-60,Gap_40-60,Auc_20-40,Gap_20-40,Auc_80-,Gap_80-,Auc_0-20,Gap_0-20
Enlarged Cardiomediastinum,0.734,-0.04600000000000004,0.739,-0.041000000000000036,0.822,0.041999999999999926,,,0.821,0.040999999999999925
Cardiomegaly,0.779,-0.0784999999999999,0.828,-0.02949999999999997,0.887,0.02950000000000008,,,0.904,0.0465000000000001
Lung Opacity,0.74,-0.0595,0.78,-0.019499999999999962,0.826,0.026499999999999968,,,0.819,0.019499999999999962
Lung Lesion,0.773,0.000500000000000056,0.78,0.007500000000000062,0.731,-0.04149999999999998,,,0.772,-0.0004999999999999449
Edema,0.876,-0.04799999999999993,0.906,-0.017999999999999905,0.942,0.018000000000000016,,,0.981,0.05700000000000005
Consolidation,0.802,-0.07399999999999995,0.846,-0.030000000000000027,0.906,0.030000000000000027,,,0.942,0.06599999999999995
Pneumonia,0.704,-0.04049999999999998,0.757,0.012500000000000067,0.778,0.033500000000000085,,,0.732,-0.012499999999999956
Atelectasis,0.788,-0.06349999999999989,0.839,-0.012499999999999956,0.905,0.0535000000000001,,,0.864,0.012500000000000067
Pneumothorax,0.892,-0.025499999999999967,0.906,-0.011499999999999955,0.929,0.011500000000000066,,,0.937,0.019500000000000073
Pleural Effusion,0.91,-0.03399999999999992,0.933,-0.010999999999999899,0.955,0.01100000000000001,,,0.955,0.01100000000000001
Pleural Other,0.82,0.0,0.849,0.029000000000000026,0.659,-0.16099999999999992,,,,
Fracture,0.7,-0.00550000000000006,0.728,0.022499999999999964,0.711,0.005499999999999949,,,0.7,-0.00550000000000006
Support Devices,0.913,-0.02299999999999991,0.925,-0.010999999999999899,0.947,0.01100000000000001,,,0.974,0.038000000000000034
