,diseases,diseases_abbr,Distance,%40-60,Gap_40-60_mean,CI_40-60,%60-80,Gap_60-80_mean,CI_60-80,%20-40,Gap_20-40_mean,CI_20-40,%80-,Gap_80-_mean,CI_80-,%0-20,Gap_0-20_mean,CI_0-20
5,Consolidation,Consolidation,0.03702325143112904,0.2775773477642943,0.01071952189715082,0.0059180621670980975,0.42188695747239524,0.012660958726969481,0.005001275253089244,0.10265660872417179,-0.01152465111252438,0.007770131834008565,0.1918661856346343,0.0010404526985858,0.0020392872892281678,0.0060129004045042,-0.024362292704159558,0.019612781350357832
1,Cardiomegaly,Cardiomegaly,0.044780023162305144,0.2716812476226702,-0.01833859124774104,0.0032800048807835056,0.41451122099657656,0.00196483273281784,0.003851072156322966,0.0891974134651959,-0.024608083826847604,0.006707790258713607,0.21814378090528716,0.02017193933545754,0.0042654453674538595,0.00646633701027,0.0023453841274981998,0.0020792121009753574
9,Pleural Effusion,Effusion,0.04520942608398607,0.2794183949504057,0.0,0.0,0.4250450856627593,0.01100892150655266,0.004024411584837491,0.0893823264201983,-0.01079656758638894,0.0051289797602178016,0.1995040577096483,0.00930232028132354,0.006414240511271477,0.0066501352569882,-0.03420050457743341,0.01087615115831675
2,Lung Opacity,Air. Opacity,0.0589389233624356,0.2825022942795962,0.0,0.0,0.413505659223004,0.020879068611954838,0.001068778037522908,0.1034720097889262,-0.01961807785622274,0.004399648608049752,0.1938666258794738,0.017615857689157362,0.005621193915800134,0.006653410828999601,-0.03805985475048076,0.0038657622800975003
0,Enlarged Cardiomediastinum,Enlarged Card.,0.06753456669912357,0.2764965849738851,0.0,0.0,0.41229409401366,0.0152170981374871,0.0005748299456377589,0.0959421454399357,-0.01315163437063252,0.004537481711780738,0.2089192446765769,0.028839603871861925,0.002833129288359718,0.0063479308959421,-0.03869496282726164,0.006199061494659666
7,Atelectasis,Atelectasis,0.08370535714285701,0.2817020477174525,0.0,0.0,0.4208153297012962,0.022818394822083483,0.0031126395933320865,0.0959045650948713,-0.01132770668903992,0.0019336251478962588,0.1950028179597971,0.0135831725539855,0.007978533653213202,0.0065752395265827,-0.06088696232077353,0.01372963021583626
12,Support Devices,Sup. Devices,0.10029262447239316,0.3149674620390456,0.00086245662187168,0.0010351635379463537,0.4002603036876356,0.00200234216512322,0.0018164041420302725,0.1239045553145336,-0.0056697099637707995,0.0020035537765210006,0.151583514099783,-0.049255352578000185,0.005970188360764321,0.0092841648590021,0.05103727189439298,0.0025429677865478114
4,Edema,Edema,0.11422582826233936,0.2670447540377265,-0.008927568514340579,0.004409554951487698,0.4164714585131303,0.01225790896827868,0.004030228230890811,0.0956725434594994,0.0,0.0,0.21452348662310436,0.01674250503614172,0.005681826212820372,0.0062877573665392,-0.09748332322619764,0.011497922111070848
11,Fracture,Fracture,0.12581305808142854,0.2709902627227631,0.0,0.0,0.40253536652581284,0.03364791249255424,0.006170346527940215,0.1124379937534447,-0.03588058048077978,0.011984898719543488,0.2068712107293771,0.02355649215763014,0.01415939787559954,0.007165166268601799,-0.09216514558887429,0.014935454409963607
3,Lung Lesion,Lung Lesion,0.1549812506334245,0.2881418544514222,-0.00069458843043742,0.0005707518335924873,0.4078315478389361,0.04307352751159148,0.0011574430092568331,0.1584780199482822,0.045156227420378336,0.008506085462833044,0.1370520871813816,-0.00519593613933234,0.0062895855723872586,0.0084964905799778,-0.10982502321304614,0.07507011671992134
10,Pleural Other,Pleural Other,0.18835978835978817,0.2971500419111483,0.06654639971042009,0.022013667231786188,0.3960603520536462,0.08482626329352765,0.015821848865362333,0.1077116512992456,-0.0237929284385044,0.015179935868247334,0.1927912824811399,-0.00034511926915918,0.0006764337675519927,0.0062866722548197,-0.10353352506626054,0.018104658160308585
6,Pneumonia,Pneumonia,0.21193672099712363,0.2894168466522678,0.03936455063737104,0.005258574201602265,0.40259179265658745,0.0,0.0,0.1287257019438445,0.041642423020422245,0.008956254642800606,0.1732181425485961,-0.05625796024959055,0.007712300704802156,0.0060475161987041,-0.1702942979767014,0.03453632428225374
8,Pneumothorax,Pneumothorax,0.25105279218797666,0.2942830365510778,0.0032632163596177195,0.0055977617847339425,0.41799437675726325,0.00055835217407598,0.004992363836451027,0.1682286785379569,-0.0026937057346640204,0.0043623785544509,0.105904404873477,-0.10718997117208846,0.01535969368827273,0.013589503280224898,0.1438628210158882,0.019165868761700223
