,diseases,%M,Gap_M,%F,Gap_F
0,Enlarged Cardiomediastinum,0.5928485335476095,0.019568388099333367,0.40715146645239053,-0.019568388099333367
1,Cardiomegaly,0.5976607074933434,0.018622633601629968,0.4023392925066565,-0.018622633601629968
2,Lung Opacity,0.5913123279290303,0.013131716391324932,0.40868767207096973,-0.013131716391324932
3,Lung Lesion,0.6050978943479867,0.001422026679276489,0.3949021056520133,-0.001422026679276489
4,Edema,0.5932684009369992,0.019075530331491675,0.4067315990630009,-0.019075530331491675
5,Consolidation,0.5881709850224117,-0.008129441451541153,0.4118290149775883,0.008129441451541153
6,Pneumonia,0.5842332613390929,-0.005169839402741516,0.41576673866090713,0.005169839402741516
7,Atelectasis,0.5962802930678189,0.0059781472486287734,0.4037197069321811,-0.0059781472486287734
8,Pneumothorax,0.5759137769447048,-0.016468493901973025,0.4240862230552952,0.016468493901973025
9,Pleural Effusion,0.5958070333633905,0.0029098531114505333,0.4041929666366096,-0.0029098531114505333
10,Pleural Other,0.5834031852472757,0.022533187631536333,0.4165968147527242,-0.022533187631536333
11,Fracture,0.5807459121807826,-0.012679315529621094,0.41925408781921736,0.012679315529621094
12,Support Devices,0.6052060737527115,5.9080704242098214e-05,0.3947939262472885,-5.9080704242098214e-05
13,No Finding,0.5801242236024845,0.018304233239993306,0.41987577639751555,-0.018304233239993306
