,diseases,%M,Gap_M,%F,Gap_F
0,Enlarged Cardiomediastinum,0.5928485335476095,0.018426866917434892,0.40715146645239053,-0.018426866917434892
1,Cardiomegaly,0.5976607074933434,0.017326634284546394,0.4023392925066565,-0.017326634284546394
2,Lung Opacity,0.5913123279290303,0.015025142420797333,0.40868767207096973,-0.015025142420797333
3,Lung Lesion,0.6050978943479867,0.0012249988863646255,0.3949021056520133,-0.0012249988863646255
4,Edema,0.5932684009369992,0.022763138632150515,0.4067315990630009,-0.022763138632150515
5,Consolidation,0.5881709850224117,-0.00964608520678989,0.4118290149775883,0.00964608520678989
6,Pneumonia,0.5842332613390929,-0.0008805242816333214,0.41576673866090713,0.0008805242816333214
7,Atelectasis,0.5962802930678189,0.008956261950356925,0.4037197069321811,-0.008956261950356925
8,Pneumothorax,0.5759137769447048,-0.015213374751066544,0.4240862230552952,0.015213374751066544
9,Pleural Effusion,0.5958070333633905,-0.003567178789841363,0.4041929666366096,0.003567178789841363
10,Pleural Other,0.5834031852472757,0.020369342491732056,0.4165968147527242,-0.020369342491732056
11,Fracture,0.5807459121807826,-0.017809072612340215,0.41925408781921736,0.017809072612340215
12,Support Devices,0.6052060737527115,-0.0009618338650597691,0.3947939262472885,0.0009618338650597691
13,No Finding,0.5801242236024845,0.017163881251346158,0.41987577639751555,-0.017163881251346158
