,diseases,%M,Gap_M,%F,Gap_F
0,Enlarged Cardiomediastinum,0.5928485335476095,0.021801115258838766,0.40715146645239053,-0.021801115258838766
1,Cardiomegaly,0.5976607074933434,0.023391277811403377,0.4023392925066565,-0.023391277811403377
2,Lung Opacity,0.5913123279290303,0.018575497737065905,0.40868767207096973,-0.018575497737065905
3,Lung Lesion,0.6050978943479867,0.012155187085028052,0.3949021056520133,-0.012155187085028052
4,Edema,0.5932684009369992,0.028917992479647547,0.4067315990630009,-0.028917992479647547
5,Consolidation,0.5881709850224117,-0.0007261258256252567,0.4118290149775883,0.0007261258256252567
6,Pneumonia,0.5842332613390929,-0.004695489353530036,0.41576673866090713,0.004695489353530036
7,Atelectasis,0.5962802930678189,0.012133763069706371,0.4037197069321811,-0.012133763069706371
8,Pneumothorax,0.5759137769447048,-0.029728162410260328,0.4240862230552952,0.029728162410260328
9,Pleural Effusion,0.5958070333633905,-4.990610688260233e-05,0.4041929666366096,4.990610688260233e-05
10,Pleural Other,0.5834031852472757,0.01979549712065498,0.4165968147527242,-0.01979549712065498
11,Fracture,0.5807459121807826,-0.012841097723376604,0.41925408781921736,0.012841097723376604
12,Support Devices,0.6052060737527115,0.0031344282957186387,0.3947939262472885,-0.0031344282957186387
13,No Finding,0.5801242236024845,0.004455291866756306,0.41987577639751555,-0.004455291866756306
