,diseases,%M,Gap_M,%F,Gap_F
0,Enlarged Cardiomediastinum,0.5906406179009541,0.01840134892854095,0.4093593820990459,-0.01840134892854095
1,Cardiomegaly,0.5907601791803169,0.02320699601938836,0.4092398208196831,-0.02320699601938836
2,Lung Opacity,0.5867074527252503,0.02939880343084711,0.41329254727474973,-0.02939880343084711
3,Lung Lesion,0.579167913798264,0.06332293125438787,0.420832086201736,-0.06332293125438787
4,Edema,0.5833715701569239,0.01991983584643242,0.4166284298430761,-0.01991983584643242
5,Consolidation,0.5908240622230974,-0.012860865826180068,0.40917593777690264,0.012860865826180068
6,Pneumonia,0.5926884503396959,-0.011317422852406,0.4073115496603041,0.011317422852406
7,Atelectasis,0.5964542279048309,0.03442222649316995,0.40354577209516906,-0.03442222649316995
8,Pneumothorax,0.5899676375404531,-0.01749590105557286,0.41003236245954694,0.01749590105557286
9,Pleural Effusion,0.587992153565924,0.002711934360892454,0.41200784643407595,-0.002711934360892454
10,Pleural Other,0.5851966075558982,0.006724755229684853,0.41480339244410175,-0.006724755229684853
11,Fracture,0.5800068236096895,0.0032020834328857495,0.4199931763903105,-0.0032020834328857495
12,Support Devices,0.602017751805502,0.011993939476970361,0.39798224819449807,-0.011993939476970361
13,No Finding,0.5315862893583101,-0.04439893643638404,0.4684137106416899,0.04439893643638404
