,diseases,%M,Gap_M,%F,Gap_F
0,Enlarged Cardiomediastinum,0.5906406179009541,0.023752810267793634,0.4093593820990459,-0.023752810267793634
1,Cardiomegaly,0.5907601791803169,0.029729099792186964,0.4092398208196831,-0.029729099792186964
2,Lung Opacity,0.5867074527252503,0.025990188828446836,0.41329254727474973,-0.025990188828446836
3,Lung Lesion,0.579167913798264,0.05817555621717191,0.420832086201736,-0.05817555621717191
4,Edema,0.5833715701569239,0.022881432864946816,0.4166284298430761,-0.022881432864946816
5,Consolidation,0.5908240622230974,-0.015569790341327439,0.40917593777690264,0.015569790341327439
6,Pneumonia,0.5926884503396959,-0.007956685662357743,0.4073115496603041,0.007956685662357743
7,Atelectasis,0.5964542279048309,0.031163252765814553,0.40354577209516906,-0.031163252765814553
8,Pneumothorax,0.5899676375404531,-0.016757723052065132,0.41003236245954694,0.016757723052065132
9,Pleural Effusion,0.587992153565924,0.0022042684496333953,0.41200784643407595,-0.0022042684496333953
10,Pleural Other,0.5851966075558982,0.030852814552507435,0.41480339244410175,-0.030852814552507435
11,Fracture,0.5800068236096895,0.0022772017011516432,0.4199931763903105,-0.0022772017011516432
12,Support Devices,0.602017751805502,0.014929505319448477,0.39798224819449807,-0.014929505319448477
13,No Finding,0.5315862893583101,-0.04856459382607581,0.4684137106416899,0.04856459382607581
