,diseases,%M,Gap_M,%F,Gap_F
0,Enlarged Cardiomediastinum,0.5906406179009541,0.029062295455192233,0.4093593820990459,-0.029062295455192233
1,Cardiomegaly,0.5907601791803169,0.02937417800921205,0.4092398208196831,-0.02937417800921205
2,Lung Opacity,0.5867074527252503,0.034127899001524686,0.41329254727474973,-0.034127899001524686
3,Lung Lesion,0.579167913798264,0.06151157277228264,0.420832086201736,-0.06151157277228264
4,Edema,0.5833715701569239,0.019514164204848194,0.4166284298430761,-0.019514164204848194
5,Consolidation,0.5908240622230974,-0.003908876913199744,0.40917593777690264,0.003908876913199744
6,Pneumonia,0.5926884503396959,0.002208119010374321,0.4073115496603041,-0.002208119010374321
7,Atelectasis,0.5964542279048309,0.038282465443671754,0.40354577209516906,-0.038282465443671754
8,Pneumothorax,0.5899676375404531,-0.003976203392501598,0.41003236245954694,0.003976203392501598
9,Pleural Effusion,0.587992153565924,0.018695610606428992,0.41200784643407595,-0.018695610606428992
10,Pleural Other,0.5851966075558982,0.025183547124714045,0.41480339244410175,-0.025183547124714045
11,Fracture,0.5800068236096895,0.008944903712906793,0.4199931763903105,-0.008944903712906793
12,Support Devices,0.602017751805502,0.014391141711407651,0.39798224819449807,-0.014391141711407651
13,No Finding,0.5315862893583101,-0.04880690004539501,0.4684137106416899,0.04880690004539501
