,diseases,%M,Gap_M,%F,Gap_F
0,Enlarged Cardiomediastinum,0.5906406179009541,0.02378212242807143,0.4093593820990459,-0.02378212242807143
1,Cardiomegaly,0.5907601791803169,0.02499330870008032,0.4092398208196831,-0.02499330870008032
2,Lung Opacity,0.5867074527252503,0.024401789731877566,0.41329254727474973,-0.024401789731877566
3,Lung Lesion,0.579167913798264,0.04958446818911938,0.420832086201736,-0.04958446818911938
4,Edema,0.5833715701569239,0.016836655142376644,0.4166284298430761,-0.016836655142376644
5,Consolidation,0.5908240622230974,-0.013455729787736792,0.40917593777690264,0.013455729787736792
6,Pneumonia,0.5926884503396959,-0.01585223942201297,0.4073115496603041,0.01585223942201297
7,Atelectasis,0.5964542279048309,0.037099821973665126,0.40354577209516906,-0.037099821973665126
8,Pneumothorax,0.5899676375404531,-0.014922452344223847,0.41003236245954694,0.014922452344223847
9,Pleural Effusion,0.587992153565924,0.01356927487102566,0.41200784643407595,-0.01356927487102566
10,Pleural Other,0.5851966075558982,0.019336732444862448,0.41480339244410175,-0.019336732444862448
11,Fracture,0.5800068236096895,0.007627705834567733,0.4199931763903105,-0.007627705834567733
12,Support Devices,0.602017751805502,0.009458213901350043,0.39798224819449807,-0.009458213901350043
13,No Finding,0.5315862893583101,-0.052484196965410734,0.4684137106416899,0.052484196965410734
