,diseases,TPR_M,TPR_F
0,Enlarged Cardiomediastinum,0.28471001757469244,0.18351063829787234
1,Cardiomegaly,0.6739938080495356,0.6924105650284186
2,Lung Opacity,0.7700920627021647,0.6960991835500454
3,Lung Lesion,0.2100371747211896,0.24045801526717558
4,Edema,0.5637837837837838,0.5867867867867868
5,Consolidation,0.42045454545454547,0.3656597774244833
6,Pneumonia,0.3315985130111524,0.2736660929432014
7,Atelectasis,0.6944283226929774,0.6669139465875371
8,Pneumothorax,0.5082327113062569,0.4822429906542056
9,Pleural Effusion,0.7904127829560585,0.804175242575713
10,Pleural Other,0.2,0.18421052631578946
11,Fracture,0.18181818181818182,0.12536443148688048
12,Support Devices,0.8193221830985915,0.7565685343463121
13,No Finding,0.7957962565204051,0.8451848841934173
