,diseases,TPR_Medicare,TPR_Other,TPR_Medicaid
0,Enlarged Cardiomediastinum,0.33641975308641975,0.3117206982543641,0.35714285714285715
1,Cardiomegaly,0.6680917217256122,0.6367384333486028,0.6390658174097664
2,Lung Opacity,0.7685753237900477,0.7416805324459235,0.7241379310344828
3,Lung Lesion,0.1863905325443787,0.266025641025641,0.24285714285714285
4,Edema,0.6470238095238096,0.6427444794952681,0.5547445255474452
5,Consolidation,0.3383177570093458,0.38104089219330856,0.3511450381679389
6,Pneumonia,0.3686534216335541,0.4105793450881612,0.49044585987261147
7,Atelectasis,0.7388509441542789,0.7066974595842956,0.5710306406685237
8,Pneumothorax,0.46472019464720193,0.36363636363636365,0.2786885245901639
9,Pleural Effusion,0.8418722327640734,0.7922129519268971,0.6782334384858044
10,Pleural Other,0.26356589147286824,0.1111111111111111,0.14285714285714285
11,Fracture,0.08661417322834646,0.1417624521072797,0.10869565217391304
12,Support Devices,0.8251700680272109,0.8378550909671242,0.8263888888888888
13,No Finding,0.6987220447284345,0.8276394093013004,0.8448430493273542
