,diseases,TPR_M,TPR_F
0,Enlarged Cardiomediastinum,0.3181019332161687,0.2553191489361702
1,Cardiomegaly,0.6232198142414861,0.6215312604480107
2,Lung Opacity,0.7365016173177408,0.7039612942243726
3,Lung Lesion,0.21189591078066913,0.24427480916030533
4,Edema,0.6367567567567568,0.6186186186186187
5,Consolidation,0.3661616161616162,0.3275039745627981
6,Pneumonia,0.4163568773234201,0.3795180722891566
7,Atelectasis,0.7080673244341266,0.6776706231454006
8,Pneumothorax,0.4665203073545554,0.4504672897196262
9,Pleural Effusion,0.7994673768308922,0.8035871802411055
10,Pleural Other,0.20526315789473684,0.14912280701754385
11,Fracture,0.14545454545454545,0.0728862973760933
12,Support Devices,0.8254841549295775,0.7733459955682178
13,No Finding,0.8100644369438478,0.8500609508329947
