,diseases,TPR_White,TPR_Black,TPR_Hisp,TPR_Other,Gap_Asian,TPR_American
0,Enlarged Cardiomediastinum,0.22282608695652173,0.22448979591836735,0.21568627450980393,0.21212121212121213,0.4375,
1,Cardiomegaly,0.6599878567091682,0.7137404580152672,0.7157190635451505,0.7446808510638298,0.627906976744186,0.8235294117647058
2,Lung Opacity,0.7618688771665411,0.6987542468856173,0.7050147492625368,0.7926267281105991,0.6845238095238095,0.36363636363636365
3,Lung Lesion,0.18503118503118504,0.19078947368421054,0.18181818181818182,0.3023255813953488,0.12,
4,Edema,0.5863825845298749,0.6,0.59,0.6526946107784432,0.5192307692307693,0.8181818181818182
5,Consolidation,0.5255474452554745,0.4716981132075472,0.4225352112676056,0.48717948717948717,0.6176470588235294,
6,Pneumonia,0.4373484236054972,0.36893203883495146,0.49137931034482757,0.24561403508771928,0.5454545454545454,0.0
7,Atelectasis,0.7005666567253206,0.6515775034293553,0.6834532374100719,0.6416666666666667,0.7652173913043478,0.7619047619047619
8,Pneumothorax,0.42194744976816073,0.37383177570093457,0.25,0.2727272727272727,0.37037037037037035,
9,Pleural Effusion,0.822509822047608,0.75,0.6536796536796536,0.7748091603053435,0.7573529411764706,0.9090909090909091
10,Pleural Other,0.27941176470588236,0.16666666666666666,0.0,0.0,0.25,
11,Fracture,0.12135922330097088,0.02702702702702703,0.05,0.23636363636363636,0.0,0.0
12,Support Devices,0.7757647058823529,0.7733199598796389,0.9038961038961039,0.8136200716845878,0.7543859649122807,1.0
13,No Finding,0.7511682242990654,0.8410628019323672,0.850383631713555,0.7943661971830986,0.8576779026217228,0.7692307692307693
