,diseases,TPR_60-80,TPR_40-60,TPR_20-40,TPR_80-,TPR_0-20
0,Enlarged Cardiomediastinum,0.2653061224489796,0.2050561797752809,0.272,,0.5555555555555556
1,Cardiomegaly,0.7106157914620325,0.6374881065651761,0.6382113821138211,,0.325
2,Lung Opacity,0.7740628166160081,0.7122302158273381,0.6481069042316259,,0.5892857142857143
3,Lung Lesion,0.24888888888888888,0.24078624078624078,0.12096774193548387,,0.38461538461538464
4,Edema,0.5603337612323491,0.5845881310894597,0.5175438596491229,,0.2
5,Consolidation,0.40619621342512907,0.366412213740458,0.4648648648648649,,0.4166666666666667
6,Pneumonia,0.24691358024691357,0.34395604395604396,0.39086294416243655,,0.42857142857142855
7,Atelectasis,0.7068779258192294,0.6658911121451838,0.649624060150376,,0.35294117647058826
8,Pneumothorax,0.43201754385964913,0.48406374501992033,0.6193181818181818,,0.5476190476190477
9,Pleural Effusion,0.8230088495575221,0.7680709534368071,0.6834170854271356,,0.5957446808510638
10,Pleural Other,0.19548872180451127,0.2204724409448819,0.0,,
11,Fracture,0.1724137931034483,0.1880108991825613,0.04065040650406504,,0.08333333333333333
12,Support Devices,0.8038692461641094,0.7725504067916519,0.8008298755186722,,0.7424242424242424
13,No Finding,0.6757848927572272,0.8303554982501381,0.9312232270347454,,0.967391304347826
