,diseases,TPR_Medicare,TPR_Other,TPR_Medicaid
0,Enlarged Cardiomediastinum,0.22530864197530864,0.24189526184538654,0.2857142857142857
1,Cardiomegaly,0.6937427127866304,0.6701786532295007,0.6518046709129511
2,Lung Opacity,0.7695978186775733,0.7454242928452579,0.705989110707804
3,Lung Lesion,0.15976331360946747,0.23717948717948717,0.15714285714285714
4,Edema,0.6011904761904762,0.612776025236593,0.5109489051094891
5,Consolidation,0.5177570093457944,0.5427509293680297,0.48854961832061067
6,Pneumonia,0.40728476821192056,0.4445843828715365,0.5031847133757962
7,Atelectasis,0.7280032141422258,0.6831408775981525,0.5487465181058496
8,Pneumothorax,0.46715328467153283,0.34249471458773784,0.32786885245901637
9,Pleural Effusion,0.8393421884882986,0.7715534366309098,0.668769716088328
10,Pleural Other,0.3488372093023256,0.16049382716049382,0.09523809523809523
11,Fracture,0.11811023622047244,0.1685823754789272,0.043478260869565216
12,Support Devices,0.7816326530612245,0.8132780082987552,0.8055555555555556
13,No Finding,0.6929712460063898,0.828080229226361,0.8457399103139014
