,diseases,TPR_M,TPR_F
0,Enlarged Cardiomediastinum,0.29349736379613356,0.2047872340425532
1,Cardiomegaly,0.639938080495356,0.6589769307923772
2,Lung Opacity,0.6812639960189102,0.6368309646205019
3,Lung Lesion,0.19888475836431227,0.26145038167938933
4,Edema,0.6318918918918919,0.6114114114114114
5,Consolidation,0.375,0.36089030206677264
6,Pneumonia,0.3940520446096654,0.3502581755593804
7,Atelectasis,0.6767266395821242,0.650593471810089
8,Pneumothorax,0.45554335894621295,0.4336448598130841
9,Pleural Effusion,0.7571238348868176,0.7797706556895031
10,Pleural Other,0.1736842105263158,0.15789473684210525
11,Fracture,0.17575757575757575,0.09329446064139942
12,Support Devices,0.8307658450704225,0.7771446660335549
13,No Finding,0.7980975759435409,0.8468102397399431
