,diseases,TPR_60-80,TPR_40-60,TPR_20-40,TPR_80-,TPR_0-20
0,Enlarged Cardiomediastinum,0.29846938775510207,0.19382022471910113,0.296,,0.5555555555555556
1,Cardiomegaly,0.6671703815640347,0.6127497621313035,0.6219512195121951,,0.3
2,Lung Opacity,0.6957109084768659,0.6312003029155623,0.5991091314031181,,0.48214285714285715
3,Lung Lesion,0.26222222222222225,0.2457002457002457,0.12903225806451613,,0.15384615384615385
4,Edema,0.6084724005134788,0.6200177147918512,0.5994152046783626,,0.4
5,Consolidation,0.35456110154905335,0.33969465648854963,0.5081081081081081,,0.4166666666666667
6,Pneumonia,0.3230452674897119,0.3978021978021978,0.44923857868020306,,0.5
7,Atelectasis,0.6892329852358661,0.649139134481154,0.6180451127819548,,0.35294117647058826
8,Pneumothorax,0.38596491228070173,0.42231075697211157,0.5653409090909091,,0.6190476190476191
9,Pleural Effusion,0.7884955752212389,0.7356984478935699,0.6666666666666666,,0.5531914893617021
10,Pleural Other,0.21052631578947367,0.16535433070866143,0.0,,
11,Fracture,0.14942528735632185,0.16076294277929154,0.08130081300813008,,0.25
12,Support Devices,0.819212808539026,0.7881146091262823,0.808298755186722,,0.7121212121212122
13,No Finding,0.671433012123096,0.8375391416467121,0.9355069014754879,,0.9637681159420289
