,diseases,TPR_White,TPR_Black,TPR_Hisp,TPR_Other,Gap_Asian,TPR_American
0,Enlarged Cardiomediastinum,0.3351449275362319,0.32653061224489793,0.21568627450980393,0.18181818181818182,0.5,
1,Cardiomegaly,0.6311475409836066,0.7213740458015268,0.6454849498327759,0.6851063829787234,0.5581395348837209,0.8235294117647058
2,Lung Opacity,0.763627229339362,0.6908267270668177,0.7197640117994101,0.7603686635944701,0.7261904761904762,0.2727272727272727
3,Lung Lesion,0.21205821205821207,0.2236842105263158,0.2727272727272727,0.4186046511627907,0.12,
4,Edema,0.6262158406669754,0.654945054945055,0.63,0.6946107784431138,0.5192307692307693,0.8181818181818182
5,Consolidation,0.35036496350364965,0.3584905660377358,0.352112676056338,0.23076923076923078,0.4117647058823529,
6,Pneumonia,0.396928051738076,0.3786407766990291,0.41379310344827586,0.24561403508771928,0.45454545454545453,0.0
7,Atelectasis,0.7277065314643603,0.644718792866941,0.6834532374100719,0.6541666666666667,0.7130434782608696,0.7619047619047619
8,Pneumothorax,0.39258114374034003,0.40186915887850466,0.4107142857142857,0.3409090909090909,0.5185185185185185,
9,Pleural Effusion,0.8308296741391265,0.7612994350282486,0.6623376623376623,0.7938931297709924,0.7426470588235294,0.9090909090909091
10,Pleural Other,0.2107843137254902,0.16666666666666666,0.0,0.0,0.25,
11,Fracture,0.11893203883495146,0.05405405405405406,0.0,0.14545454545454545,0.0,0.0
12,Support Devices,0.8105882352941176,0.8144433299899699,0.9194805194805195,0.8530465949820788,0.7602339181286549,1.0
13,No Finding,0.7527258566978193,0.8357487922705314,0.850383631713555,0.8140845070422535,0.8726591760299626,0.6923076923076923
