,diseases,TPR_White,TPR_Black,TPR_Hisp,TPR_Other,Gap_Asian,TPR_American
0,Enlarged Cardiomediastinum,0.27355072463768115,0.25510204081632654,0.19607843137254902,0.18181818181818182,0.375,
1,Cardiomegaly,0.6948998178506375,0.7547709923664122,0.7525083612040134,0.7702127659574468,0.6201550387596899,0.8235294117647058
2,Lung Opacity,0.7754333082140166,0.7055492638731596,0.7256637168141593,0.7926267281105991,0.7083333333333334,0.5454545454545454
3,Lung Lesion,0.21621621621621623,0.2236842105263158,0.18181818181818182,0.27906976744186046,0.16,
4,Edema,0.5706345530338119,0.578021978021978,0.6,0.6826347305389222,0.4807692307692308,0.7272727272727273
5,Consolidation,0.4343065693430657,0.39622641509433965,0.3380281690140845,0.358974358974359,0.4411764705882353,
6,Pneumonia,0.3080032336297494,0.3074433656957929,0.3275862068965517,0.17543859649122806,0.4,0.0
7,Atelectasis,0.7116015508499851,0.6378600823045267,0.7050359712230215,0.6416666666666667,0.7130434782608696,0.8095238095238095
8,Pneumothorax,0.46213292117465227,0.40186915887850466,0.32142857142857145,0.29545454545454547,0.3333333333333333,
9,Pleural Effusion,0.8282874971111625,0.7415254237288136,0.6753246753246753,0.7938931297709924,0.75,0.9090909090909091
10,Pleural Other,0.22058823529411764,0.08333333333333333,0.0,0.0,0.25,
11,Fracture,0.16262135922330098,0.02702702702702703,0.05,0.23636363636363636,0.5,0.0
12,Support Devices,0.8023529411764706,0.7963891675025075,0.9142857142857143,0.8422939068100358,0.7719298245614035,1.0
13,No Finding,0.746690031152648,0.8294685990338164,0.8260869565217391,0.8084507042253521,0.8726591760299626,0.7692307692307693
