,diseases,TPR_Medicare,TPR_Other,TPR_Medicaid
0,Enlarged Cardiomediastinum,0.2191358024691358,0.2119700748129676,0.2857142857142857
1,Cardiomegaly,0.7120093276331131,0.6825469537333944,0.6411889596602972
2,Lung Opacity,0.7310838445807771,0.7038269550748752,0.6751361161524501
3,Lung Lesion,0.17159763313609466,0.2467948717948718,0.12857142857142856
4,Edema,0.6452380952380953,0.6277602523659306,0.5693430656934306
5,Consolidation,0.26542056074766357,0.3159851301115242,0.3053435114503817
6,Pneumonia,0.30353200883002207,0.36272040302267,0.4394904458598726
7,Atelectasis,0.7171554841301727,0.6739030023094689,0.5264623955431755
8,Pneumothorax,0.4720194647201946,0.40169133192389006,0.2786885245901639
9,Pleural Effusion,0.8263757115749526,0.7560588001589194,0.6845425867507886
10,Pleural Other,0.3488372093023256,0.14814814814814814,0.19047619047619047
11,Fracture,0.2125984251968504,0.19540229885057472,0.10869565217391304
12,Support Devices,0.7884353741496599,0.8120012767315672,0.8020833333333334
13,No Finding,0.6782747603833866,0.814414811549482,0.8260089686098655
