,diseases,TPR_60-80,TPR_40-60,TPR_20-40,TPR_80-,TPR_0-20
0,Enlarged Cardiomediastinum,0.3494897959183674,0.23314606741573032,0.28,,0.5555555555555556
1,Cardiomegaly,0.6486588590857575,0.5694576593720266,0.592140921409214,,0.3
2,Lung Opacity,0.7554880108071598,0.69632714880727,0.6403118040089086,,0.5357142857142857
3,Lung Lesion,0.2577777777777778,0.24324324324324326,0.12096774193548387,,0.15384615384615385
4,Edema,0.6258023106546855,0.6271036315323295,0.5818713450292398,,0.2
5,Consolidation,0.3304647160068847,0.3320610687022901,0.4594594594594595,,0.3333333333333333
6,Pneumonia,0.3477366255144033,0.4340659340659341,0.4619289340101523,,0.5
7,Atelectasis,0.712279438242708,0.6859004187994416,0.6360902255639098,,0.35294117647058826
8,Pneumothorax,0.40789473684210525,0.4402390438247012,0.5681818181818182,,0.5
9,Pleural Effusion,0.8294985250737463,0.7711751662971175,0.6901172529313233,,0.6382978723404256
10,Pleural Other,0.18796992481203006,0.1968503937007874,0.0,,
11,Fracture,0.09195402298850575,0.16076294277929154,0.04878048780487805,,0.0
12,Support Devices,0.8162108072048032,0.7845772904138663,0.8049792531120332,,0.7575757575757576
13,No Finding,0.6882188374261734,0.8406704733836803,0.9355069014754879,,0.9782608695652174
