,diseases,%M,Gap_M,%F,Gap_F
0,Enlarged Cardiomediastinum,0.5545335085413929,-0.004487690307427766,0.4454664914586071,0.004487690307427766
1,Cardiomegaly,0.574420175636118,-0.010325238157460781,0.42557982436388203,0.010325238157460781
2,Lung Opacity,0.5744290375203915,0.022544517602161918,0.42557096247960846,-0.022544517602161918
3,Lung Lesion,0.46845425867507884,0.06684051194436952,0.5315457413249212,-0.06684051194436952
4,Edema,0.5545585068198133,-0.031420532037791826,0.44544149318018667,0.031420532037791826
5,Consolidation,0.6148514851485148,0.07550637705997043,0.38514851485148516,-0.07550637705997043
6,Pneumonia,0.6179123711340206,-0.01446314053248976,0.38208762886597936,0.01446314053248976
7,Atelectasis,0.5968632648553126,0.012122324407085605,0.40313673514468745,-0.012122324407085605
8,Pneumothorax,0.6213389121338913,0.026545380136540397,0.3786610878661088,-0.026545380136540397
9,Pleural Effusion,0.5751573491299519,-0.005942165873251359,0.42484265087004813,0.005942165873251359
10,Pleural Other,0.6057692307692307,0.08323654665118077,0.3942307692307692,-0.08323654665118077
11,Fracture,0.5704057279236276,-0.0031380753138075257,0.4295942720763723,0.0031380753138075257
12,Support Devices,0.5964620501965527,0.019757237132338124,0.40353794980344726,-0.019757237132338124
13,No Finding,0.508656103286385,-0.08281254050582976,0.491343896713615,0.08281254050582976
