,diseases,%Medicare,Gap_Medicare,%Other,Gap_Other,%Medicaid,Gap_Medicaid
0,Enlarged Cardiomediastinum,0.44152431011826543,-0.021526418786692758,0.47963206307490147,0.0,0.07884362680683311,0.00228310502283105
1,Cardiomegaly,0.5298356226075208,0.026206033627489966,0.40734068903400134,0.0,0.06282368835847782,-0.041851673531981604
2,Lung Opacity,0.5050978792822186,0.0,0.41374388254486133,-0.007564915109594783,0.08115823817292006,0.01402653152723643
3,Lung Lesion,0.3832807570977918,-0.10247917293987752,0.5520504731861199,0.028432055749128937,0.06466876971608833,0.0
4,Edema,0.5710696338837042,0.025092928136196346,0.36288585786073224,0.0,0.06604450825556353,-0.044623274416204395
5,Consolidation,0.4900990099009901,0.0,0.4188118811881188,0.08673973780356764,0.09108910891089109,-0.021673254281949883
6,Pneumonia,0.5019329896907216,0.0,0.4271907216494845,0.026818231983224805,0.07087628865979381,-0.007982261640798238
7,Atelectasis,0.5029821073558648,-0.027411799150929506,0.4254473161033797,0.035219799238490834,0.07157057654075547,0.0
8,Pneumothorax,0.3472803347280335,-0.15443022088353414,0.602510460251046,0.0,0.0502092050209205,0.005208333333333315
9,Pleural Effusion,0.49666790077748985,-0.012009121297407721,0.43280266567937803,0.00953099425446069,0.07052943354313217,0.0
10,Pleural Other,0.5048076923076923,-0.05648604269293925,0.4182692307692308,0.0,0.07692307692307693,0.21910919540229884
11,Fracture,0.41766109785202865,-0.01874999999999999,0.5059665871121718,0.10672169811320753,0.07637231503579953,0.0
12,Support Devices,0.4605382521923193,0.002789355486406464,0.4560024191109767,-0.006131549609810438,0.08345932869670396,0.0
13,No Finding,0.377787558685446,-0.12713086484379044,0.5224471830985915,0.0,0.09976525821596244,0.016290037497728727
