,diseases,%Medicare,Gap_Medicare,%Other,Gap_Other,%Medicaid,Gap_Medicaid
0,Enlarged Cardiomediastinum,0.44152431011826543,-0.013095238095238076,0.47963206307490147,0.03082191780821919,0.07884362680683311,0.0
1,Cardiomegaly,0.5298356226075208,0.0314153837696346,0.40734068903400134,0.0,0.06282368835847782,-0.0242871663189429
2,Lung Opacity,0.5050978792822186,0.0,0.41374388254486133,-0.034032368365602306,0.08115823817292006,0.01698541151457733
3,Lung Lesion,0.3832807570977918,-0.0663454782695975,0.5520504731861199,0.09303135888501746,0.06466876971608833,0.0
4,Edema,0.5710696338837042,0.03198381598768041,0.36288585786073224,0.0,0.06604450825556353,-0.057917257988216564
5,Consolidation,0.4900990099009901,0.0,0.4188118811881188,0.06670964968837306,0.09108910891089109,-0.05496267018006151
6,Pneumonia,0.5019329896907216,0.0,0.4271907216494845,0.043378504754325975,0.07087628865979381,-0.01877698681293033
7,Atelectasis,0.5029821073558648,-0.03337725076855513,0.4254473161033797,0.047767393561786164,0.07157057654075547,0.0
8,Pneumothorax,0.3472803347280335,-0.1478413654618474,0.602510460251046,0.043402777777777735,0.0502092050209205,0.0
9,Pleural Effusion,0.49666790077748985,0.0,0.43280266567937803,0.012418111436995116,0.07052943354313217,-0.016301726726946963
10,Pleural Other,0.5048076923076923,-0.11001642036124798,0.4182692307692308,0.0,0.07692307692307693,0.12212643678160917
11,Fracture,0.41766109785202865,0.0,0.5059665871121718,0.11177897574123985,0.07637231503579953,-0.0014285714285714457
12,Support Devices,0.4605382521923193,0.008042146031383535,0.4560024191109767,-0.0021527697689617264,0.08345932869670396,0.0
13,No Finding,0.377787558685446,-0.13221496088968132,0.5224471830985915,0.0,0.09976525821596244,0.02540925384475612
