,diseases,%M,Gap_M,%F,Gap_F
0,Enlarged Cardiomediastinum,0.5545335085413929,0.0243327880999315,0.4454664914586071,-0.0243327880999315
1,Cardiomegaly,0.574420175636118,-0.010119280954247634,0.42557982436388203,0.010119280954247634
2,Lung Opacity,0.5744290375203915,0.04758177258716889,0.42557096247960846,-0.04758177258716889
3,Lung Lesion,0.46845425867507884,0.13937595539969427,0.5315457413249212,-0.13937595539969427
4,Edema,0.5545585068198133,-0.011922736909632858,0.44544149318018667,0.011922736909632858
5,Consolidation,0.6148514851485148,0.10062135456122268,0.38514851485148516,-0.10062135456122268
6,Pneumonia,0.6179123711340206,-0.008662058390643712,0.38208762886597936,0.008662058390643712
7,Atelectasis,0.5968632648553126,0.03672733540857609,0.40313673514468745,-0.03672733540857609
8,Pneumothorax,0.6213389121338913,8.371002846141451e-05,0.3786610878661088,-8.371002846141451e-05
9,Pleural Effusion,0.5751573491299519,-0.001569861574784004,0.42484265087004813,0.001569861574784004
10,Pleural Other,0.6057692307692307,0.012388695315524584,0.3942307692307692,-0.012388695315524584
11,Fracture,0.5704057279236276,0.005369595536959537,0.4295942720763723,-0.005369595536959537
12,Support Devices,0.5964620501965527,0.025134946085673238,0.40353794980344726,-0.025134946085673238
13,No Finding,0.508656103286385,-0.08559137499383129,0.491343896713615,0.08559137499383129
