,diseases,%M,Gap_M,%F,Gap_F
0,Enlarged Cardiomediastinum,0.5545335085413929,0.05620098142012331,0.4454664914586071,-0.05620098142012331
1,Cardiomegaly,0.574420175636118,-0.0023605225878844394,0.42557982436388203,0.0023605225878844394
2,Lung Opacity,0.5744290375203915,0.05106922359777788,0.42557096247960846,-0.05106922359777788
3,Lung Lesion,0.46845425867507884,0.1225409385646774,0.5315457413249212,-0.1225409385646774
4,Edema,0.5545585068198133,-0.02086687581003932,0.44544149318018667,0.02086687581003932
5,Consolidation,0.6148514851485148,0.07507999784740593,0.38514851485148516,-0.07507999784740593
6,Pneumonia,0.6179123711340206,0.020420723526298257,0.38208762886597936,-0.020420723526298257
7,Atelectasis,0.5968632648553126,0.04254301734889432,0.40313673514468745,-0.04254301734889432
8,Pneumothorax,0.6213389121338913,0.03021001916029542,0.3786610878661088,-0.03021001916029542
9,Pleural Effusion,0.5751573491299519,0.01716105245517019,0.42484265087004813,-0.01716105245517019
10,Pleural Other,0.6057692307692307,0.03929539295392953,0.3942307692307692,-0.03929539295392953
11,Fracture,0.5704057279236276,0.03589028358902838,0.4295942720763723,-0.03589028358902838
12,Support Devices,0.5964620501965527,0.027031575508312367,0.40353794980344726,-0.027031575508312367
13,No Finding,0.508656103286385,-0.08536004229788297,0.491343896713615,0.08536004229788297
