,diseases,%Medicare,Gap_Medicare,%Other,Gap_Other,%Medicaid,Gap_Medicaid
0,Enlarged Cardiomediastinum,0.44152431011826543,-0.004761904761904745,0.47963206307490147,0.041324200913242015,0.07884362680683311,0.0
1,Cardiomegaly,0.5298356226075208,0.03697255238869923,0.40734068903400134,-0.018152962784643067,0.06282368835847782,0.0
2,Lung Opacity,0.5050978792822186,0.0,0.41374388254486133,-0.03577317431757088,0.08115823817292006,0.04273791241228342
3,Lung Lesion,0.3832807570977918,-0.046070460704607075,0.5520504731861199,0.04885017421602783,0.06466876971608833,0.0
4,Edema,0.5710696338837042,0.06007270122928121,0.36288585786073224,0.0,0.06604450825556353,-0.030754096245645735
5,Consolidation,0.4900990099009901,0.0,0.4188118811881188,0.002235117128734143,0.09108910891089109,-0.07593324549846286
6,Pneumonia,0.5019329896907216,0.0,0.4271907216494845,0.004352565554710086,0.07087628865979381,-0.015159295133621187
7,Atelectasis,0.5029821073558648,-0.020458205240813987,0.4254473161033797,0.027085496711664936,0.07157057654075547,0.0
8,Pneumothorax,0.3472803347280335,-0.15612449799196781,0.602510460251046,0.006944444444444531,0.0502092050209205,0.0
9,Pleural Effusion,0.49666790077748985,0.0,0.43280266567937803,0.0021224788589053745,0.07052943354313217,-0.03764051483873876
10,Pleural Other,0.5048076923076923,-0.06995073891625617,0.4182692307692308,0.0,0.07692307692307693,0.1961206896551724
11,Fracture,0.41766109785202865,-0.024464285714285716,0.5059665871121718,0.0784198113207547,0.07637231503579953,0.0
12,Support Devices,0.4605382521923193,0.0,0.4560024191109767,-0.011970301530380367,0.08345932869670396,0.00015344428901764573
13,No Finding,0.377787558685446,-0.14235381683447712,0.5224471830985915,0.0,0.09976525821596244,0.004473710292878685
