diseases,#M,FPR_M,Gap_M,#F,FPR_F,Gap_F
Enlarged Cardiomediastinum,15560,0.072,-0.006775501636580458,12296,0.079,0.006775501636580458
Cardiomegaly,14524,0.211,-0.006636621760382988,11581,0.218,0.006636621760382988
Lung Opacity,12811,0.166,0.0246988980944102,10271,0.141,-0.0246988980944102
Lung Lesion,21425,0.044,0.005292843767202897,16296,0.039,-0.005292843767202897
Edema,17003,0.127,-0.0030448518059189578,13162,0.13,0.0030448518059189578
Consolidation,17359,0.084,0.018164786602704666,13546,0.065,-0.018164786602704666
Pneumonia,19696,0.09,0.011027470020604016,15184,0.079,-0.011027470020604016
Atelectasis,14310,0.181,0.023004929102174138,11579,0.158,-0.023004929102174138
Pneumothorax,21537,0.049,0.01117461394254917,16435,0.038,-0.01117461394254917
Pleural Effusion,14967,0.177,0.023907606180061464,11821,0.153,-0.023907606180061464
Pleural Other,21842,0.04,0.0037632120882415826,16626,0.036,-0.0037632120882415826
Fracture,19960,0.067,0.008944134989138382,15240,0.058,-0.008944134989138382
Support Devices,12440,0.193,0.04254238143336034,10483,0.151,-0.04254238143336034
No Finding,18025,0.12,-0.02356522452503121,13001,0.143,0.02356522452503121
