diseases,#M,FPR_M,Gap_M,#F,FPR_F,Gap_F
Enlarged Cardiomediastinum,15560,0.059,-0.0015100528020900034,12296,0.061,0.0015100528020900034
Cardiomegaly,14524,0.178,0.0018318164271144688,11581,0.176,-0.0018318164271144688
Lung Opacity,12811,0.157,0.028808129599644183,10271,0.128,-0.028808129599644183
Lung Lesion,21425,0.043,0.004312680406642802,16296,0.039,-0.004312680406642802
Edema,17003,0.135,0.006794330912741564,13162,0.128,-0.006794330912741564
Consolidation,17359,0.084,0.02036495232682245,13546,0.064,-0.02036495232682245
Pneumonia,19696,0.071,0.010516435702552347,15184,0.061,-0.010516435702552347
Atelectasis,14310,0.198,0.03070432393784525,11579,0.167,-0.03070432393784525
Pneumothorax,21537,0.05,0.010767831373998005,16435,0.04,-0.010767831373998005
Pleural Effusion,14967,0.176,0.025047219609390575,11821,0.151,-0.025047219609390575
Pleural Other,21842,0.041,0.006108037940934084,16626,0.035,-0.006108037940934084
Fracture,19960,0.058,0.00415305676970739,15240,0.053,-0.00415305676970739
Support Devices,12440,0.186,0.052237154443590034,10483,0.133,-0.052237154443590034
No Finding,18025,0.115,-0.02338847507836002,13001,0.138,0.02338847507836002
