diseases,#White,FPR_White,Gap_White,#Black,FPR_Black,Gap_Black,#Hisp,FPR_Hisp,Gap_Hisp,#Other,FPR_Other,Gap_Other,#Asian,FPR_Asian,Gap_Asian,#American,FPR_American,Gap_American
Enlarged Cardiomediastinum,18399,0.064,-0.013469111463567676,3956,0.021,-0.05620641018364253,1462,0.025,-0.05213218190790352,2122,0.12,0.042729671826861326,1631,0.145,0.06725652576600344,286,0.091,0.01346911146356769
Cardiomegaly,17245,0.177,-0.013975473415796136,3400,0.135,-0.05613244986250704,1262,0.134,-0.056923910662357885,2202,0.205,0.013975473415796108,1697,0.205,0.014229434431575955,299,0.244,0.05330882497518724
Lung Opacity,15058,0.177,-0.00020703189924278775,3269,0.134,-0.04370857204374207,1254,0.12,-0.05697392346980577,1830,0.178,0.00020703189924278775,1395,0.186,0.008991331799354435,276,0.185,0.0073940121795944
Lung Lesion,24823,0.049,0.00038498900157689364,4607,0.018,-0.03086777175359949,1758,0.019,-0.030112503209145325,3463,0.065,0.01579996590609438,2637,0.088,0.038715710670263095,433,0.048,-0.0003849890015768867
Edema,19793,0.144,0.0011626093759168343,3910,0.104,-0.03802515792872975,1454,0.106,-0.03645826599642904,2582,0.15,0.007898123652787775,2082,0.141,-0.0011626093759168066,344,0.215,0.07274329505408117
Consolidation,20245,0.077,0.0007111394897599266,4170,0.032,-0.044697413884877975,1576,0.034,-0.042327938906485056,2637,0.112,0.035656869241521935,1908,0.145,0.06806218975296646,369,0.076,-0.0007111394897599266
Pneumonia,22949,0.075,0.006411267139137214,4348,0.037,-0.031496897130396405,1692,0.033,-0.03565848007606203,3152,0.1,0.031181141433340234,2338,0.118,0.04972192426217133,401,0.062,-0.0064112671391372
Atelectasis,16741,0.185,0.009186097807997257,3642,0.122,-0.054315922063114,1328,0.141,-0.03541370694233434,2227,0.167,-0.009186097807997257,1639,0.19,0.01413301564049238,312,0.244,0.06736278363536105
Pneumothorax,24765,0.039,0.010508318676963897,4658,0.016,-0.012341826920939346,1776,0.012,-0.01562640174909511,3580,0.042,0.014444311422176719,2736,0.057,0.029003754723166623,457,0.018,-0.010508318676963897
Pleural Effusion,17191,0.166,0.011553010511356182,3687,0.094,-0.06118293155987066,1339,0.114,-0.041237390913152164,2486,0.143,-0.011553010511356182,1763,0.18,0.02505220558477192,322,0.189,0.03468605246491341
Pleural Other,25409,0.028,-0.004553109186950843,4705,0.011,-0.02090074371393215,1802,0.009,-0.02294393341577483,3493,0.037,0.004553109186950836,2626,0.073,0.040356300816646956,433,0.042,0.009192543119150437
Fracture,23145,0.048,-0.004872005306289499,4547,0.019,-0.03356351958007327,1757,0.011,-0.04210305210941739,3101,0.073,0.020285253423690433,2252,0.091,0.03811325596455417,398,0.058,0.0048720053062894925
Support Devices,14693,0.191,0.01068493604765608,3288,0.108,-0.07235388625264981,1143,0.115,-0.0645325555248302,2046,0.185,0.005221371861812457,1507,0.204,0.02436144221450348,246,0.175,-0.005221371861812457
No Finding,20900,0.129,-0.009726798443232376,3225,0.22,0.08057363551693231,1256,0.19,0.05132537599982373,2941,0.106,-0.03287488302208702,2361,0.106,-0.03265036298587003,343,0.149,0.009726798443232376
