diseases,#M,FPR_M,Gap_M,#F,FPR_F,Gap_F
Enlarged Cardiomediastinum,15560,0.063,-0.0002525117370499319,12296,0.063,0.0002525117370499319
Cardiomegaly,14524,0.167,-0.005040848276853804,11581,0.172,0.005040848276853804
Lung Opacity,12811,0.163,0.032131074438033314,10271,0.131,-0.032131074438033314
Lung Lesion,21425,0.04,0.0010281753717257536,16296,0.039,-0.0010281753717257536
Edema,17003,0.12,0.00859025449918592,13162,0.111,-0.00859025449918592
Consolidation,17359,0.086,0.018214704735351098,13546,0.068,-0.018214704735351098
Pneumonia,19696,0.076,0.01241585481831746,15184,0.063,-0.01241585481831746
Atelectasis,14310,0.164,0.028330571942543514,11579,0.135,-0.028330571942543514
Pneumothorax,21537,0.037,-0.00220422276101101,16435,0.039,0.00220422276101101
Pleural Effusion,14967,0.165,0.017094800564173812,11821,0.148,-0.017094800564173812
Pleural Other,21842,0.034,0.004897023363873525,16626,0.03,-0.004897023363873525
Fracture,19960,0.062,0.0028567633955575225,15240,0.059,-0.0028567633955575225
Support Devices,12440,0.191,0.04385646735351342,10483,0.147,-0.04385646735351342
No Finding,18025,0.107,-0.02510044837050303,13001,0.132,0.02510044837050303
