diseases,#White,FPR_White,Gap_White,#Black,FPR_Black,Gap_Black,#Hisp,FPR_Hisp,Gap_Hisp,#Other,FPR_Other,Gap_Other,#Asian,FPR_Asian,Gap_Asian,#American,FPR_American,Gap_American
Enlarged Cardiomediastinum,18399,0.069,-0.01080592324681677,3956,0.021,-0.058869598400393436,1462,0.029,-0.05137539748443555,2122,0.119,0.039123976541307406,1631,0.147,0.06643269990363634,286,0.091,0.010805923246816784
Cardiomegaly,17245,0.2,-0.004112342584260742,3400,0.151,-0.052998038352855215,1262,0.159,-0.04460939287881774,2202,0.208,0.00411234258426077,1697,0.225,0.020633456672968897,299,0.244,0.04026676589660377
Lung Opacity,15058,0.184,0.006979572048774946,3269,0.131,-0.046022766091003225,1254,0.12,-0.05622907805545786,1830,0.17,-0.0061519478230213365,1395,0.183,0.0061519478230213365,276,0.203,0.026254799622927844
Lung Lesion,24823,0.038,-0.001790738474589472,4607,0.015,-0.024585430734732024,1758,0.016,-0.02385251033586331,3463,0.05,0.01017698463075438,2637,0.068,0.028100466531789325,433,0.042,0.001790738474589465
Edema,19793,0.129,0.008191107726316732,3910,0.096,-0.024579681192186703,1454,0.088,-0.03271035167699446,2582,0.12,-0.00029409992030840493,2082,0.121,0.0002940999203084188,344,0.18,0.059489194082898045
Consolidation,20245,0.073,0.0028003836472052096,4170,0.029,-0.04177408273671408,1576,0.034,-0.03628710176311733,2637,0.111,0.04093926876638378,1908,0.137,0.06676550069088347,369,0.068,-0.0028003836472052096
Pneumonia,22949,0.084,0.008492864314006907,4348,0.042,-0.03419620027034422,1692,0.041,-0.03504439329297793,3152,0.111,0.035216074000106276,2338,0.125,0.049068535863905874,401,0.067,-0.00849286431400692
Atelectasis,16741,0.2,0.01920724523305345,3642,0.135,-0.045630464905921125,1328,0.167,-0.013552399762315398,2227,0.171,-0.009638901133764366,1639,0.19,0.009638901133764338,312,0.282,0.10133020759017147
Pneumothorax,24765,0.038,0.010346800405209407,4658,0.016,-0.011536255407450204,1776,0.011,-0.016591009603466746,3580,0.039,0.010974544777730095,2736,0.057,0.029165272994921113,457,0.018,-0.010346800405209407
Pleural Effusion,17191,0.18,0.011920386881328071,3687,0.1,-0.06805322821618269,1339,0.133,-0.03465712260887055,2486,0.156,-0.011920386881328071,1763,0.195,0.027529802471732007,322,0.199,0.03116561522737507
Pleural Other,25409,0.033,-0.004941938323045847,4705,0.011,-0.026736478477155434,1802,0.011,-0.026902311457631726,3493,0.043,0.004941938323045847,2626,0.078,0.03968360095415073,433,0.046,0.008188285851491062
Fracture,23145,0.067,-0.011849591443933868,4547,0.027,-0.05177179236094937,1757,0.017,-0.061528110955370585,3101,0.101,0.022010035716246726,2252,0.117,0.03818241006635323,398,0.09,0.011849591443933855
Support Devices,14693,0.179,0.004200473501729307,3288,0.101,-0.0733466743447964,1143,0.111,-0.06320879924341766,2046,0.178,0.003588203037455606,1507,0.205,0.030723221695902553,246,0.171,-0.0035882030374555784
No Finding,20900,0.1,-0.009958151408205107,3225,0.17,0.06034710433156715,1256,0.159,0.04966029250122103,2941,0.092,-0.017089827155639906,2361,0.089,-0.020630014153899187,343,0.12,0.009958151408205121
