diseases,#White,FPR_White,Gap_White,#Black,FPR_Black,Gap_Black,#Hisp,FPR_Hisp,Gap_Hisp,#Other,FPR_Other,Gap_Other,#Asian,FPR_Asian,Gap_Asian,#American,FPR_American,Gap_American
Enlarged Cardiomediastinum,18399,0.061,-0.016684834270029113,3956,0.021,-0.05648719087368459,1462,0.025,-0.05241296259794558,2122,0.117,0.03915011639600871,1631,0.139,0.06084453722801533,286,0.094,0.01668483427002912
Cardiomegaly,17245,0.166,-0.01964498946087556,3400,0.146,-0.04012969943648656,1262,0.141,-0.044966093582100436,2202,0.209,0.022888946714071767,1697,0.206,0.01964498946087556,299,0.217,0.03137925197016306
Lung Opacity,15058,0.159,-0.004427942375093169,3269,0.1,-0.0641533821054134,1254,0.086,-0.07775366663999297,1830,0.168,0.004427942375093169,1395,0.172,0.008164942198819608,276,0.178,0.013658163330189405
Lung Lesion,24823,0.04,0.00023012815258589142,4607,0.017,-0.022343279592482314,1758,0.023,-0.016737969574314875,3463,0.053,0.013353256476341883,2637,0.066,0.026113755871267227,433,0.039,-0.00023012815258589836
Edema,19793,0.118,-0.015361100745259051,3910,0.072,-0.06166718456961867,1454,0.073,-0.0606318538653616,2582,0.156,0.022546365464950785,2082,0.149,0.015361100745259065,344,0.174,0.04088441240890986
Consolidation,20245,0.08,0.00744015886688873,4170,0.03,-0.042504790088740536,1576,0.032,-0.04012040318202226,2637,0.115,0.04204327112099475,1908,0.158,0.08580011315847302,369,0.065,-0.007440158866888744
Pneumonia,22949,0.071,0.005566555527169698,4348,0.044,-0.02125869592135443,1692,0.031,-0.03409305252344969,3152,0.098,0.032933324215098994,2338,0.107,0.04193978554913867,401,0.06,-0.0055665555271697045
Atelectasis,16741,0.162,0.007148007627338165,3642,0.097,-0.05750658183282928,1328,0.117,-0.03696146892650877,2227,0.147,-0.007148007627338138,1639,0.182,0.0279969615005074,312,0.218,0.06351736950413689
Pneumothorax,24765,0.039,0.0054416548377505675,4658,0.02,-0.013922393840694141,1776,0.017,-0.0169961524425764,3580,0.045,0.010804693095699307,2736,0.067,0.03263242350178902,457,0.028,-0.0054416548377505675
Pleural Effusion,17191,0.171,0.02145958186387234,3687,0.102,-0.047676921573622785,1339,0.117,-0.032133947480402617,2486,0.14,-0.008999465328822787,1763,0.192,0.04290024850825647,322,0.158,0.008999465328822759
Pleural Other,25409,0.033,-0.0032886483288566554,4705,0.012,-0.024602993463913647,1802,0.006,-0.030400896608489103,3493,0.04,0.0032886483288566484,2626,0.064,0.02785121051121288,433,0.055,0.01892202659975014
Fracture,23145,0.06,-0.010000097701729646,4547,0.023,-0.047089838453645866,1757,0.015,-0.055603961295590476,3101,0.103,0.032468129573439045,2252,0.117,0.046827217314000594,398,0.08,0.010000097701729646
Support Devices,14693,0.186,0.015040281979429887,3288,0.108,-0.06293023065192228,1143,0.118,-0.05278836426113355,2046,0.171,0.00016689316453280534,1507,0.206,0.03480810157546102,246,0.171,-0.00016689316453280534
No Finding,20900,0.111,0.004625524851088761,3225,0.187,0.0800003254890473,1256,0.172,0.06530818111537424,2941,0.094,-0.012820710439775104,2361,0.086,-0.02110937379091883,343,0.102,-0.004625524851088761
