diseases,#White,FNR_White,Gap_White,#Black,FNR_Black,Gap_Black,#Hisp,FNR_Hisp,Gap_Hisp,#Other,FNR_Other,Gap_Other,#Asian,FNR_Asian,Gap_Asian,#American,FNR_American,Gap_American
Enlarged Cardiomediastinum,8618,0.14,-0.02516648729079088,894,0.19,0.02516648729079088,392,0.204,0.03909152039127939,1733,0.101,-0.06400915438526712,1381,0.102,-0.062890184673078,188,0.191,0.026499249440345818
Cardiomegaly,9772,0.208,-0.001743757674989771,1450,0.26,0.05031518624641834,592,0.294,0.08423410516533725,1653,0.138,-0.07175377927082305,1315,0.136,-0.07356314074977938,175,0.211,0.001743757674989771
Lung Opacity,11959,0.207,-0.020175202987311014,1581,0.335,0.10793132205272798,600,0.327,0.09936712217923022,2025,0.137,-0.09001559387015248,1617,0.111,-0.11598229031303942,198,0.247,0.02017520298731104
Lung Lesion,2194,0.491,0.02500674380964779,243,0.543,0.07687660212131708,96,0.594,0.12741672557810724,392,0.441,-0.025006743809647847,375,0.405,-0.06099994108855944,41,0.439,-0.027308884177990322
Edema,7224,0.247,-0.009230343300110744,940,0.283,0.02720906670436607,400,0.265,0.009230343300110744,1273,0.225,-0.031103513730525556,930,0.23,-0.025662129818168844,130,0.292,0.036538035607803054
Consolidation,6772,0.207,-0.025056957218800108,680,0.394,0.16203174713476648,278,0.277,0.04489251734213001,1218,0.146,-0.0859446848173247,1104,0.137,-0.09531053760521646,105,0.257,0.02505695721880008
Pneumonia,4068,0.435,0.005222855295591411,502,0.586,0.15577698097576165,162,0.568,0.13802084502573453,703,0.324,-0.10555606521784233,674,0.292,-0.13759552307332396,73,0.425,-0.005222855295591355
Atelectasis,10276,0.201,-0.023028607951405405,1208,0.337,0.11303555750581637,526,0.266,0.04227472352198233,1628,0.157,-0.06663681504735092,1373,0.132,-0.09205685867569752,162,0.247,0.023028607951405405
Pneumothorax,2252,0.468,0.0005405822843462804,192,0.661,0.19352644670116098,78,0.654,0.18591426721398147,275,0.447,-0.020659159359445123,276,0.467,-0.0005405822843462804,17,0.353,-0.11499071016158413
Pleural Effusion,9826,0.153,-0.01299227925120397,1163,0.211,0.04501358337762626,515,0.179,0.012992279251203942,1369,0.148,-0.017365078894136354,1249,0.124,-0.041549218024286336,152,0.211,0.0448778183416485
Pleural Other,1608,0.438,-0.02468602111394247,145,0.572,0.1092949361686103,52,0.519,0.056111912295931266,362,0.417,-0.0459917851116336,386,0.334,-0.12892196574312814,41,0.488,0.02468602111394247
Fracture,3872,0.302,-0.03976607097213941,303,0.399,0.05766270599646656,97,0.381,0.039766070972139356,754,0.3,-0.04194247998632272,760,0.195,-0.14694038589166963,76,0.408,0.06621750884517247
Support Devices,12324,0.113,0.01387520339536824,1562,0.124,0.02496232154256839,711,0.093,-0.0064104181560760976,1809,0.083,-0.01631868274032784,1505,0.106,0.006410418156076084,228,0.057,-0.042219878515836265
No Finding,6117,0.277,0.06799176034323076,1625,0.185,-0.023383649925754812,598,0.171,-0.03804585728361434,914,0.207,-0.0018310493534605954,651,0.21,0.0018310493534605954,131,0.29,0.08146191672133854
