diseases,#M,FNR_M,Gap_M,#F,FNR_F,Gap_F
Enlarged Cardiomediastinum,7800,0.133,-0.016926918808161856,5406,0.15,0.016926918808161856
Cardiomegaly,8836,0.205,-0.006936487342294045,6121,0.212,0.006936487342294045
Lung Opacity,10549,0.227,-0.032258799471904576,7431,0.259,0.032258799471904576
Lung Lesion,1935,0.515,-0.03951981357122114,1406,0.555,0.03951981357122114
Edema,6357,0.242,-0.00910034309537025,4540,0.251,0.00910034309537025
Consolidation,6001,0.229,0.01579476888596848,4156,0.214,-0.01579476888596848
Pneumonia,3664,0.46,0.010838122721644305,2518,0.449,-0.010838122721644305
Atelectasis,9050,0.23,-0.0223297177655484,6123,0.252,0.0223297177655484
Pneumothorax,1823,0.552,0.00014070841709090676,1267,0.552,-0.00014070841709090676
Pleural Effusion,8393,0.183,-0.005751122591390351,5881,0.188,0.005751122591390351
Pleural Other,1518,0.444,-0.045771681580635826,1076,0.49,0.045771681580635826
Fracture,3400,0.35,-0.004995938261575961,2462,0.355,0.004995938261575961
Support Devices,10920,0.145,-0.00039224177955302086,7219,0.145,0.00039224177955302086
No Finding,5335,0.272,0.05824376436288353,4701,0.213,-0.05824376436288353
