diseases,#M,FNR_M,Gap_M,#F,FNR_F,Gap_F
Enlarged Cardiomediastinum,7800,0.133,-0.02007157289621217,5406,0.154,0.02007157289621217
Cardiomegaly,8836,0.209,-0.02844867453095634,6121,0.238,0.02844867453095634
Lung Opacity,10549,0.197,-0.021494134318984254,7431,0.218,0.021494134318984254
Lung Lesion,1935,0.438,-0.018371615189240686,1406,0.457,0.018371615189240686
Edema,6357,0.21,-0.013815219131291662,4540,0.223,0.013815219131291662
Consolidation,6001,0.215,0.03353972605464056,4156,0.181,-0.03353972605464056
Pneumonia,3664,0.454,0.03541358116755866,2518,0.418,-0.03541358116755866
Atelectasis,9050,0.21,-0.022952476081940815,6123,0.233,0.022952476081940815
Pneumothorax,1823,0.486,0.01008468049015021,1267,0.476,-0.01008468049015021
Pleural Effusion,8393,0.175,0.009936195726542196,5881,0.165,-0.009936195726542196
Pleural Other,1518,0.447,-0.017384937136028122,1076,0.465,0.017384937136028122
Fracture,3400,0.366,0.028758063745400686,2462,0.337,-0.028758063745400686
Support Devices,10920,0.092,-0.014580736020686158,7219,0.106,0.014580736020686158
No Finding,5335,0.211,0.033275099297902094,4701,0.177,-0.033275099297902094
